tipo_celular,module_size,UBXN6_MM,UBXN6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,848.0,0.274,70.0,262,32,12.21,3.41 (2.88-3.94),230,87.79,4.29 (4.02-4.56),7.14,3.68
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.235,67.0,410,39,9.51,3.55 (3.08-4.02),371,90.49,4.34 (4.14-4.54),13.01,6.94
GABA neurons expressing GABA receptors 13,417.0,0.115,15.0,213,32,15.02,2.38 (1.79-2.98),181,84.98,4.04 (3.80-4.29),7.81,10.02
endothelial cells 9,338.0,0.106,36.0,191,14,7.33,4.31 (3.59-5.03),177,92.67,3.84 (3.61-4.08),6.18,9.39
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.311,68.0,455,53,11.65,3.26 (2.75-3.77),402,88.35,4.53 (4.34-4.72),18.16,7.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.074,7.0,124,2,1.61,2.45 (-1.56-6.46),122,98.39,4.22 (3.83-4.62),2.73,3.04
astrocytes microglia 23,124.0,0.353,72.0,1,1,100.0,4.05 (NA-NA),0,0.0,NA,1.36,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
