tipo_celular,module_size,VIRMA_MM,VIRMA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.118,22.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,518.0,0.079,4.0,131,1,0.76,3.21 (NA-NA),130,99.24,3.07 (2.79-3.35),5.60,4.75
astrocytes 5,1656.0,0.097,23.0,136,8,5.88,2.44 (0.95-3.93),128,94.12,3.26 (2.99-3.53),7.01,4.86
oligodendrocyte progenitor cells 7,4285.0,0.136,52.0,353,39,11.05,1.69 (1.36-2.03),314,88.95,4.22 (4.05-4.40),31.12,5.20
GABA neurons expressing GLU receptors 22,1069.0,0.162,48.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66),2.83,3.13
GLU like neurons 17,1316.0,0.083,14.0,101,2,1.98,5.21 (0.54-9.87),99,98.02,3.00 (2.66-3.34),1.72,3.08
da like neurons 11,197.0,0.204,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.057,5.0,275,37,13.45,1.74 (1.40-2.07),238,86.55,4.45 (4.20-4.70),16.00,4.31
oligodendrocytes 20,938.0,0.126,50.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75),3.75,5.39
GABA like neurons 14,3052.0,0.08,8.0,125,3,2.4,6.12 (3.23-9.00),122,97.6,3.27 (2.96-3.58),5.68,8.68
astrocytes 8,727.0,0.075,28.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84),2.85,3.57
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,28,10.14,1.89 (1.57-2.21),248,89.86,3.79 (3.56-4.01),14.19,4.08
oligodendrocytes 10,483.0,0.06,16.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,85.0,0.278,36.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,208.0,0.039,14.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,65.0,0.225,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,67.0,0.208,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.17,90.0,104,30,28.85,1.74 (1.41-2.07),74,71.15,3.33 (3.01-3.64),10.37,3.38
oligodendrocytes 0,2078.0,0.125,73.0,238,5,2.1,2.00 (0.95-3.05),233,97.9,3.68 (3.46-3.90),15.46,4.80
microglia 1,1615.0,0.089,21.0,161,35,21.74,1.57 (1.24-1.90),126,78.26,3.84 (3.58-4.10),12.76,3.40
oligodendrocytes 3,1003.0,0.059,11.0,111,2,1.8,3.13 (2.98-3.28),109,98.2,3.31 (2.96-3.66),3.46,4.25
oligodendrocytes 2,1630.0,0.129,26.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
