tipo_celular,module_size,YTHDF2_MM,YTHDF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.234,69.0,102,48,47.06,3.00 (2.59-3.42),54,52.94,3.98 (3.42-4.55),3.68,2.46
T cells 18,610,0.119,24.0,98,33,33.67,2.00 (1.59-2.42),65,66.33,3.79 (3.45-4.12),5.07,3.51
astrocytes 5,1656,0.105,34.0,136,10,7.35,2.32 (1.49-3.14),126,92.65,3.29 (3.01-3.57),6.68,4.85
oligodendrocyte progenitor cells 7,4285,0.143,62.0,353,85,24.08,2.91 (2.54-3.28),268,75.92,4.29 (4.10-4.47),13.82,6.24
GABA neurons expressing GLU receptors 22,823,0.122,17.0,23,5,21.74,2.61 (0.99-4.24),18,78.26,2.35 (1.52-3.18),1.96,3.83
GLU like neurons 17,1247,0.12,39.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220,0.129,28.0,410,20,4.88,4.02 (3.22-4.83),390,95.12,4.26 (4.07-4.45),8.38,7.47
GABA neurons expressing GABA receptors 13,90,0.167,52.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07),NA,1.84
endothelial cells 9,385,0.045,2.0,275,85,30.91,2.98 (2.62-3.35),190,69.09,4.67 (4.37-4.97),8.03,4.92
oligodendrocytes 20,938,0.133,53.0,169,13,7.69,2.90 (1.95-3.84),156,92.31,3.54 (3.32-3.76),7.55,5.18
GABA like neurons 14,2402,0.118,14.0,455,45,9.89,3.16 (2.48-3.85),410,90.11,4.51 (4.33-4.69),16.21,8.03
astrocytes 8,47,0.015,0.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33),NA,4.61
oligodendrocyte progenitor cells 12,3303,0.043,9.0,276,56,20.29,2.53 (2.18-2.88),220,79.71,3.87 (3.63-4.12),6.77,4.69
oligodendrocytes 10,735,0.06,19.0,277,3,1.08,6.55 (3.15-9.94),274,98.92,3.87 (3.63-4.11),2.20,9.02
connective tissue cells 21,116,0.262,38.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,418,0.029,8.0,54,2,3.7,3.44 (3.37-3.51),52,96.3,3.69 (3.24-4.15),1.59,3.07
oligodendrocytes 16,313,0.074,1.0,291,8,2.75,3.28 (2.33-4.24),283,97.25,4.36 (4.14-4.59),2.90,3.84
da neurons 6,518,0.098,36.0,122,17,13.93,2.57 (1.43-3.71),105,86.07,4.26 (3.87-4.65),3.62,3.46
astrocytes microglia 23,96,0.311,42.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,1807,0.15,59.0,104,26,25.0,1.96 (1.50-2.43),78,75.0,3.20 (2.88-3.51),7.72,4.62
oligodendrocytes 0,2078,0.118,58.0,238,28,11.76,4.06 (3.43-4.70),210,88.24,3.57 (3.34-3.80),4.53,5.09
microglia 1,813,0.095,22.0,79,5,6.33,5.23 (3.72-6.73),74,93.67,2.94 (2.55-3.34),3.19,8.22
oligodendrocytes 3,854,0.037,2.0,76,4,5.26,1.99 (-0.03-4.00),72,94.74,2.83 (2.50-3.16),2.79,4.83
oligodendrocytes 2,1630,0.157,80.0,154,6,3.9,4.59 (3.30-5.88),148,96.1,3.18 (2.92-3.45),2.63,3.63
