tipo_celular,module_size,ZMYM5_MM,ZMYM5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.229,63.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,349.0,0.105,20.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12),2.46,3.35
astrocytes 5,932.0,0.072,4.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07),1.98,4.36
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,34,9.63,2.17 (1.85-2.50),319,90.37,4.13 (3.95-4.32),12.17,7.63
GABA neurons expressing GLU receptors 22,203.0,0.352,81.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,300.0,0.223,78.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,853.0,0.098,26.0,133,36,27.07,2.48 (2.10-2.86),97,72.93,3.62 (3.22-4.02),5.74,3.58
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.093,22.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,330.0,0.061,14.0,36,13,36.11,2.01 (1.64-2.38),23,63.89,1.86 (1.34-2.39),1.86,3.84
GABA like neurons 14,2090.0,0.162,56.0,74,13,17.57,2.22 (1.97-2.48),61,82.43,3.12 (2.67-3.58),3.27,12.04
astrocytes 8,218.0,0.099,51.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,27,9.78,1.80 (1.54-2.07),249,90.22,3.80 (3.57-4.02),6.89,4.92
oligodendrocytes 10,2107.0,0.111,34.0,358,41,11.45,2.30 (1.94-2.67),317,88.55,4.15 (3.95-4.34),18.00,8.37
connective tissue cells 21,92.0,0.254,27.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,418.0,0.028,7.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,81.0,0.265,75.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.222,6.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,787.0,0.142,32.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.135,88.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93),6.99,4.93
microglia 1,958.0,0.109,47.0,290,9,3.1,2.76 (1.75-3.77),281,96.9,3.86 (3.62-4.09),5.70,4.98
oligodendrocytes 3,357.0,0.098,54.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,407.0,0.145,39.0,122,38,31.15,2.42 (2.06-2.79),84,68.85,3.92 (3.38-4.47),2.86,2.63
