tipo_celular,module_size,ZNRF2_MM,ZNRF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.202,69.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,518.0,0.191,73.0,131,2,1.53,3.50 (NA-NA),129,98.47,3.07 (2.79-3.35),1.95,4.80
astrocytes 5,1656.0,0.131,75.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49),3.73,5.01
oligodendrocyte progenitor cells 7,4285.0,0.177,97.0,353,49,13.88,2.57 (2.13-3.00),304,86.12,4.14 (3.95-4.33),24.33,5.44
GABA neurons expressing GLU receptors 22,823.0,0.191,57.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,1316.0,0.117,45.0,101,3,2.97,3.19 (2.31-4.07),98,97.03,3.05 (2.68-3.41),3.98,3.03
da like neurons 11,140.0,0.309,76.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.14,60.0,297,13,4.38,4.06 (3.15-4.97),284,95.62,3.66 (3.46-3.87),9.10,5.35
oligodendrocytes 20,250.0,0.018,3.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.03,1.0,125,6,4.8,3.28 (2.73-3.82),119,95.2,3.35 (3.02-3.68),3.77,8.86
astrocytes 8,283.0,0.135,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,37,13.41,2.94 (2.50-3.39),239,86.59,3.65 (3.40-3.89),12.98,3.89
oligodendrocytes 10,2107.0,0.348,94.0,358,49,13.69,2.59 (2.14-3.03),309,86.31,4.10 (3.90-4.30),27.61,6.60
connective tissue cells 21,57.0,0.382,86.0,1,0,0.0,NA,1,100.0,NA,NA,1.69
astrocytes 15,1401.0,0.076,41.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12),8.25,3.70
oligodendrocytes 16,121.0,0.228,60.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.279,66.0,57,7,12.28,3.87 (3.04-4.70),50,87.72,2.46 (2.09-2.83),3.28,3.34
astrocytes 4,1807.0,0.131,26.0,104,23,22.12,2.32 (1.85-2.79),81,77.88,3.03 (2.70-3.36),11.97,3.53
oligodendrocytes 0,2078.0,0.11,41.0,238,16,6.72,3.37 (2.60-4.14),222,93.28,3.65 (3.42-3.88),5.96,4.96
microglia 1,1615.0,0.14,84.0,161,40,24.84,2.47 (1.96-2.99),121,75.16,3.55 (3.25-3.85),10.96,3.60
oligodendrocytes 3,854.0,0.09,50.0,76,4,5.26,2.11 (0.24-3.98),72,94.74,2.81 (2.48-3.14),3.40,4.79
oligodendrocytes 2,804.0,0.107,6.0,84,29,34.52,3.18 (2.60-3.77),55,65.48,2.45 (2.05-2.84),3.93,3.12
