tipo_celular,module_size,ALKBH3_MM,ALKBH3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,30,8.5,1.94 (1.43-2.44),323,91.5,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,1069.0,0.191,69.0,37,1,2.7,1.52 (NA-NA),36,97.3,2.18 (1.71-2.64)
GLU like neurons 17,685.0,0.082,17.0,135,7,5.19,1.32 (0.74-1.90),128,94.81,3.31 (3.00-3.62)
da like neurons 11,153.0,0.081,8.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.151,60.0,125,3,2.4,3.81 (2.47-5.14),122,97.6,3.34 (3.01-3.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.052,11.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.386,91.0,26,1,3.85,2.53 (NA-NA),25,96.15,2.52 (1.83-3.22)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.299,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
