tipo_celular,module_size,ARHGAP6_MM,ARHGAP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.184,48.0,102,11,10.78,2.05 (1.37-2.74),91,89.22,3.67 (3.28-4.05)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,21,5.95,2.11 (1.45-2.77),332,94.05,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,300.0,0.183,44.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,209.0,0.189,56.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.463,87.0,62,4,6.45,5.87 (5.71-6.03),58,93.55,3.90 (3.44-4.36)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.197,91.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.093,68.0,276,10,3.62,2.23 (1.32-3.13),266,96.38,3.61 (3.39-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,152.0,0.236,38.0,21,4,19.05,6.49 (5.49-7.49),17,80.95,4.94 (3.40-6.49)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.296,76.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.183,46.0,163,16,9.82,3.98 (3.27-4.68),147,90.18,3.68 (3.39-3.96)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
