tipo_celular,module_size,ASXL2_MM,ASXL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.184,35.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,477.0,0.258,91.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932.0,0.113,56.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.188,99.0,353,48,13.6,1.90 (1.63-2.18),305,86.4,4.29 (4.12-4.47)
GABA neurons expressing GLU receptors 22,203.0,0.29,59.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,685.0,0.154,62.0,135,29,21.48,2.15 (1.78-2.52),106,78.52,3.54 (3.18-3.91)
da like neurons 11,61.0,0.336,55.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.126,49.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,233.0,0.199,53.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.098,16.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.055,14.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303.0,0.1,74.0,276,43,15.58,2.00 (1.77-2.23),233,84.42,3.91 (3.68-4.15)
oligodendrocytes 10,2107.0,0.194,67.0,358,57,15.92,2.00 (1.69-2.31),301,84.08,4.35 (4.17-4.53)
connective tissue cells 21,139.0,0.252,19.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,377.0,0.147,47.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,113.0,0.165,41.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.33,84.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,201.0,0.151,32.0,18,6,33.33,3.50 (3.01-3.98),12,66.67,5.16 (3.91-6.41)
oligodendrocytes 0,2078.0,0.123,68.0,238,14,5.88,2.33 (1.92-2.74),224,94.12,3.73 (3.50-3.96)
microglia 1,813.0,0.117,51.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.076,33.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,921.0,0.151,74.0,200,2,1.0,1.32 (NA-NA),198,99.0,3.64 (3.37-3.90)
