tipo_celular,module_size,ATF4_MM,ATF4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.259,78.0,17,2,11.76,3.05 (NA-NA),15,88.24,1.83 (1.19-2.47)
T cells 18,624.0,0.17,64.0,142,4,2.82,4.27 (NA-NA),138,97.18,3.20 (2.93-3.47)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.099,7.0,164,1,0.61,4.37 (NA-NA),163,99.39,4.08 (3.75-4.41)
GABA neurons expressing GLU receptors 22,848.0,0.21,49.0,262,31,11.83,4.16 (3.43-4.89),231,88.17,4.16 (3.90-4.42)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.174,48.0,410,25,6.1,4.73 (3.89-5.57),385,93.9,4.21 (4.02-4.40)
GABA neurons expressing GABA receptors 13,67.0,0.171,44.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,385.0,0.193,90.0,275,93,33.82,3.08 (2.70-3.47),182,66.18,4.70 (4.42-4.99)
oligodendrocytes 20,938.0,0.137,55.0,169,11,6.51,2.99 (1.83-4.15),158,93.49,3.52 (3.30-3.74)
GABA like neurons 14,2402.0,0.195,40.0,455,41,9.01,2.98 (2.21-3.75),414,90.99,4.52 (4.34-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.055,20.0,235,6,2.55,5.17 (4.01-6.34),229,97.45,3.78 (3.54-4.01)
oligodendrocytes 10,735.0,0.164,80.0,277,8,2.89,6.51 (5.53-7.48),269,97.11,3.79 (3.55-4.02)
connective tissue cells 21,84.0,0.244,34.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,116.0,0.171,27.0,3,1,33.33,NA,2,66.67,0.40 (0.12-0.68)
da neurons 6,729.0,0.071,8.0,182,7,3.85,1.94 (1.03-2.86),175,96.15,3.72 (3.47-3.97)
astrocytes microglia 23,76.0,0.363,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.181,80.0,127,29,22.83,3.32 (2.56-4.08),98,77.17,2.93 (2.43-3.42)
microglia 1,406.0,0.091,11.0,278,18,6.47,5.35 (4.75-5.94),260,93.53,4.26 (3.97-4.55)
oligodendrocytes 3,457.0,0.096,38.0,345,13,3.77,4.34 (3.66-5.02),332,96.23,4.27 (4.06-4.48)
oligodendrocytes 2,528.0,0.286,82.0,175,15,8.57,5.24 (4.26-6.22),160,91.43,4.26 (3.89-4.63)
