tipo_celular,module_size,ATP2A2_MM,ATP2A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.323,97.0,97,7,7.22,3.73 (2.89-4.56),90,92.78,2.99 (2.57-3.41)
T cells 18,282,0.231,76.0,241,20,8.3,4.40 (3.61-5.19),221,91.7,4.01 (3.74-4.27)
astrocytes 5,423,0.21,79.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,628,0.146,37.0,164,12,7.32,4.09 (3.19-4.99),152,92.68,4.08 (3.73-4.43)
GABA neurons expressing GLU receptors 22,848,0.345,84.0,262,24,9.16,3.43 (2.61-4.26),238,90.84,4.26 (4.01-4.51)
GLU like neurons 17,685,0.131,50.0,135,15,11.11,2.05 (1.44-2.66),120,88.89,3.34 (3.01-3.66)
da like neurons 11,1220,0.168,46.0,410,42,10.24,3.70 (3.17-4.22),368,89.76,4.34 (4.14-4.54)
GABA neurons expressing GABA receptors 13,357,0.219,74.0,237,22,9.28,4.48 (3.85-5.11),215,90.72,4.40 (4.15-4.65)
endothelial cells 9,303,0.215,58.0,54,3,5.56,5.21 (5.13-5.29),51,94.44,4.80 (4.12-5.48)
oligodendrocytes 20,358,0.126,37.0,31,5,16.13,3.58 (3.19-3.96),26,83.87,2.12 (1.66-2.57)
GABA like neurons 14,2402,0.212,45.0,455,37,8.13,3.15 (2.50-3.80),418,91.87,4.49 (4.31-4.68)
astrocytes 8,577,0.149,81.0,83,2,2.41,2.35 (-0.55-5.24),81,97.59,3.28 (2.82-3.73)
oligodendrocyte progenitor cells 12,218,0.342,71.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,806,0.244,70.0,261,29,11.11,3.80 (3.25-4.36),232,88.89,4.46 (4.20-4.73)
connective tissue cells 21,152,0.179,14.0,21,1,4.76,7.59 (NA-NA),20,95.24,4.98 (3.59-6.37)
astrocytes 15,1768,0.173,97.0,105,20,19.05,2.90 (2.05-3.74),85,80.95,3.29 (2.93-3.65)
oligodendrocytes 16,313,0.195,41.0,291,52,17.87,3.60 (3.22-3.98),239,82.13,4.55 (4.29-4.80)
da neurons 6,518,0.188,93.0,122,32,26.23,2.51 (2.03-2.99),90,73.77,4.76 (4.33-5.20)
astrocytes microglia 23,190,0.229,24.0,7,1,14.29,5.39 (NA-NA),6,85.71,4.73 (3.43-6.03)
astrocytes 4,514,0.291,84.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,613,0.15,56.0,127,3,2.36,2.76 (2.53-3.00),124,97.64,3.06 (2.63-3.49)
microglia 1,813,0.236,97.0,79,9,11.39,3.50 (2.73-4.28),70,88.61,3.04 (2.60-3.49)
oligodendrocytes 3,743,0.096,67.0,76,6,7.89,4.12 (3.42-4.81),70,92.11,3.07 (2.65-3.49)
oligodendrocytes 2,528,0.158,23.0,175,13,7.43,3.80 (2.73-4.86),162,92.57,4.45 (4.08-4.82)
