tipo_celular,module_size,B3GAT2_MM,B3GAT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.194,70.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.108,16.0,353,20,5.67,1.53 (1.01-2.05),333,94.33,4.08 (3.90-4.25)
GABA neurons expressing GLU receptors 22,1069.0,0.104,10.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795.0,0.102,31.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,265.0,0.159,49.0,78,2,2.56,3.09 (2.64-3.53),76,97.44,4.40 (3.98-4.83)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.19,38.0,455,18,3.96,1.64 (1.03-2.25),437,96.04,4.50 (4.32-4.68)
astrocytes 8,262.0,0.096,29.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.069,37.0,276,9,3.26,1.73 (1.18-2.28),267,96.74,3.62 (3.40-3.84)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.083,47.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.478,99.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.131,16.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
