tipo_celular,module_size,CAB39_MM,CAB39_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.101,13.0,97,1,1.03,2.27 (NA-NA),96,98.97,3.07 (2.67-3.46)
T cells 18,477,0.228,83.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.112,25.0,166,25,15.06,2.58 (1.97-3.19),141,84.94,3.57 (3.31-3.84)
oligodendrocyte progenitor cells 7,4285,0.151,74.0,353,35,9.92,2.02 (1.56-2.49),318,90.08,4.16 (3.98-4.34)
GABA neurons expressing GLU receptors 22,714,0.112,11.0,17,5,29.41,2.20 (2.10-2.31),12,70.59,2.35 (1.51-3.19)
GLU like neurons 17,1316,0.08,13.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,59,0.466,94.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266,0.225,80.0,118,8,6.78,4.62 (3.73-5.52),110,93.22,4.75 (4.37-5.13)
endothelial cells 9,1653,0.137,58.0,297,7,2.36,4.98 (3.74-6.22),290,97.64,3.66 (3.45-3.86)
oligodendrocytes 20,228,0.148,29.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,3052,0.114,29.0,125,3,2.4,3.45 (2.73-4.16),122,97.6,3.35 (3.02-3.68)
astrocytes 8,520,0.077,29.0,288,30,10.42,2.83 (2.28-3.39),258,89.58,4.28 (4.08-4.49)
oligodendrocyte progenitor cells 12,3303,0.082,54.0,276,30,10.87,2.10 (1.78-2.42),246,89.13,3.78 (3.55-4.01)
oligodendrocytes 10,2107,0.257,83.0,358,42,11.73,1.95 (1.55-2.36),316,88.27,4.19 (4.01-4.37)
connective tissue cells 21,106,0.197,18.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,261,0.178,67.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,65,0.12,11.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.127,50.0,124,7,5.65,3.25 (1.98-4.51),117,94.35,4.25 (3.84-4.66)
astrocytes microglia 23,253,0.227,35.0,47,2,4.26,1.42 (0.47-2.37),45,95.74,2.92 (2.59-3.25)
astrocytes 4,721,0.16,67.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.125,22.0,300,9,3.0,3.26 (2.42-4.11),291,97.0,3.80 (3.60-4.01)
microglia 1,315,0.063,2.0,144,3,2.08,2.67 (1.48-3.86),141,97.92,4.50 (4.19-4.81)
oligodendrocytes 3,681,0.055,12.0,87,24,27.59,2.01 (1.54-2.49),63,72.41,2.81 (2.50-3.13)
oligodendrocytes 2,921,0.139,52.0,200,5,2.5,2.43 (1.97-2.90),195,97.5,3.66 (3.39-3.93)
