tipo_celular,module_size,CACNG7_MM,CACNG7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.103,42.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06)
oligodendrocyte progenitor cells 7,4285.0,0.137,52.0,353,21,5.95,2.97 (2.34-3.60),332,94.05,3.97 (3.77-4.16)
GABA neurons expressing GLU receptors 22,703.0,0.24,80.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247.0,0.184,77.0,51,4,7.84,3.77 (1.81-5.74),47,92.16,3.61 (3.00-4.22)
da like neurons 11,853.0,0.122,42.0,133,11,8.27,3.68 (1.78-5.58),122,91.73,3.22 (2.91-3.53)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.212,84.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.054,18.0,66,6,9.09,2.03 (0.49-3.58),60,90.91,3.37 (2.94-3.79)
oligodendrocyte progenitor cells 12,3303.0,0.064,31.0,276,21,7.61,2.94 (2.31-3.58),255,92.39,3.61 (3.38-3.84)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.055,31.0,54,19,35.19,3.24 (2.71-3.77),35,64.81,3.93 (3.32-4.53)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.311,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.144,50.0,104,8,7.69,2.27 (1.15-3.40),96,92.31,2.92 (2.63-3.20)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
