tipo_celular,module_size,CCDC14_MM,CCDC14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.126,25.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,610.0,0.164,60.0,98,9,9.18,1.85 (0.83-2.87),89,90.82,3.26 (2.94-3.58)
astrocytes 5,499.0,0.213,80.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,17,4.82,2.07 (1.29-2.85),336,95.18,4.00 (3.81-4.18)
GABA neurons expressing GLU receptors 22,823.0,0.206,68.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12)
GLU like neurons 17,489.0,0.28,88.0,42,1,2.38,4.85 (NA-NA),41,97.62,6.03 (5.46-6.60)
da like neurons 11,289.0,0.085,7.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.111,36.0,297,4,1.35,NA,293,98.65,3.67 (3.47-3.88)
oligodendrocytes 20,275.0,0.293,78.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.139,49.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,354.0,0.185,81.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,9,3.26,2.33 (1.25-3.41),267,96.74,3.58 (3.36-3.80)
oligodendrocytes 10,2107.0,0.201,69.0,358,15,4.19,1.88 (1.07-2.69),343,95.81,3.96 (3.77-4.15)
connective tissue cells 21,100.0,0.258,35.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.096,59.0,105,7,6.67,2.36 (1.22-3.50),98,93.33,3.28 (2.93-3.63)
oligodendrocytes 16,81.0,0.182,53.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.364,72.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.204,99.0,96,6,6.25,1.57 (1.57-1.57),90,93.75,3.34 (3.00-3.67)
oligodendrocytes 0,479.0,0.134,36.0,40,2,5.0,4.03 (3.36-4.70),38,95.0,5.99 (5.47-6.51)
microglia 1,1615.0,0.088,19.0,161,8,4.97,0.90 (0.20-1.60),153,95.03,3.41 (3.14-3.67)
oligodendrocytes 3,639.0,0.099,53.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,804.0,0.176,74.0,84,8,9.52,3.02 (0.26-5.78),76,90.48,2.67 (2.34-3.01)
