tipo_celular,module_size,CDK5RAP1_MM,CDK5RAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.186,72.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,610.0,0.069,3.0,98,26,26.53,1.70 (1.28-2.13),72,73.47,3.68 (3.36-3.99)
astrocytes 5,1656.0,0.104,32.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,34,9.63,1.91 (1.53-2.29),319,90.37,4.16 (3.98-4.34)
GABA neurons expressing GLU receptors 22,459.0,0.061,5.0,165,12,7.27,3.43 (2.23-4.63),153,92.73,5.26 (4.91-5.60)
GLU like neurons 17,1247.0,0.165,70.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.125,46.0,133,21,15.79,1.83 (1.32-2.34),112,84.21,3.58 (3.25-3.91)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.142,60.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.17,61.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,1266.0,0.066,33.0,66,23,34.85,2.60 (1.90-3.31),43,65.15,3.65 (3.18-4.12)
oligodendrocyte progenitor cells 12,708.0,0.065,21.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.034,2.0,358,37,10.34,1.87 (1.50-2.24),321,89.66,4.17 (3.99-4.36)
connective tissue cells 21,92.0,0.349,79.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.207,82.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,81.0,0.091,2.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.297,42.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.137,35.0,104,18,17.31,1.89 (1.41-2.37),86,82.69,3.09 (2.78-3.39)
oligodendrocytes 0,2078.0,0.108,37.0,238,7,2.94,2.71 (1.82-3.60),231,97.06,3.67 (3.44-3.89)
microglia 1,1615.0,0.077,7.0,161,29,18.01,1.76 (1.35-2.17),132,81.99,3.68 (3.41-3.96)
oligodendrocytes 3,639.0,0.049,7.0,15,6,40.0,1.20 (0.31-2.09),9,60.0,5.12 (3.78-6.47)
oligodendrocytes 2,1630.0,0.153,74.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
