tipo_celular,module_size,CORO1C_MM,CORO1C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.11,3.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.095,20.0,136,4,2.94,3.16 (2.14-4.19),132,97.06,3.21 (2.93-3.49)
oligodendrocyte progenitor cells 7,666.0,0.163,48.0,127,39,30.71,3.95 (3.32-4.58),88,69.29,3.76 (3.37-4.15)
GABA neurons expressing GLU receptors 22,567.0,0.248,71.0,16,5,31.25,2.47 (2.02-2.92),11,68.75,1.77 (0.87-2.68)
GLU like neurons 17,685.0,0.121,43.0,135,32,23.7,2.46 (1.98-2.94),103,76.3,3.45 (3.09-3.81)
da like neurons 11,265.0,0.249,73.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.205,61.0,141,9,6.38,2.54 (1.59-3.49),132,93.62,2.99 (2.75-3.24)
oligodendrocytes 20,298.0,0.285,91.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.165,72.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,771.0,0.088,36.0,48,10,20.83,6.16 (4.80-7.52),38,79.17,3.83 (3.04-4.63)
oligodendrocyte progenitor cells 12,708.0,0.252,81.0,32,21,65.62,2.72 (1.79-3.66),11,34.38,4.35 (2.98-5.71)
oligodendrocytes 10,2107.0,0.125,41.0,358,45,12.57,2.03 (1.68-2.38),313,87.43,4.24 (4.05-4.42)
connective tissue cells 21,111.0,0.302,61.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.113,73.0,96,31,32.29,4.09 (3.47-4.70),65,67.71,3.37 (2.77-3.96)
oligodendrocytes 16,113.0,0.158,35.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,228.0,0.067,11.0,2,1,50.0,3.28 (NA-NA),1,50.0,0.95 (NA-NA)
astrocytes microglia 23,110.0,0.242,13.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.124,16.0,104,16,15.38,2.00 (1.35-2.65),88,84.62,3.03 (2.74-3.33)
oligodendrocytes 0,1186.0,0.189,97.0,300,6,2.0,3.53 (2.47-4.59),294,98.0,3.80 (3.59-4.01)
microglia 1,346.0,0.137,42.0,43,4,9.3,3.62 (3.29-3.95),39,90.7,3.78 (3.22-4.35)
oligodendrocytes 3,1003.0,0.157,87.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.158,31.0,114,37,32.46,4.91 (4.39-5.42),77,67.54,5.28 (4.67-5.89)
