tipo_celular,module_size,COX6C_MM,COX6C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.041,1.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,506,0.148,35.0,225,17,7.56,3.14 (2.47-3.82),208,92.44,3.66 (3.40-3.93)
astrocytes 5,228,0.148,35.0,266,24,9.02,2.60 (1.97-3.23),242,90.98,4.32 (4.12-4.53)
oligodendrocyte progenitor cells 7,628,0.177,57.0,164,16,9.76,3.61 (2.98-4.24),148,90.24,4.16 (3.79-4.52)
GABA neurons expressing GLU receptors 22,487,0.18,34.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,380,0.141,28.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56)
da like neurons 11,1220,0.275,76.0,410,19,4.63,3.30 (2.66-3.94),391,95.37,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,417,0.217,77.0,213,28,13.15,2.47 (1.83-3.10),185,86.85,4.02 (3.78-4.27)
endothelial cells 9,916,0.358,79.0,302,20,6.62,3.18 (2.53-3.83),282,93.38,4.06 (3.82-4.30)
oligodendrocytes 20,253,0.131,35.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.549,92.0,455,26,5.71,2.56 (1.90-3.23),429,94.29,4.49 (4.31-4.68)
astrocytes 8,520,0.113,48.0,288,17,5.9,3.16 (2.48-3.84),271,94.1,4.26 (4.05-4.46)
oligodendrocyte progenitor cells 12,1049,0.138,72.0,235,16,6.81,3.61 (2.98-4.24),219,93.19,3.84 (3.60-4.09)
oligodendrocytes 10,735,0.255,95.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,92,0.297,59.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,418,0.043,21.0,54,11,20.37,4.03 (3.24-4.82),43,79.63,3.58 (3.06-4.10)
oligodendrocytes 16,313,0.16,25.0,291,2,0.69,1.15 (-0.02-2.32),289,99.31,4.35 (4.13-4.58)
da neurons 6,729,0.242,86.0,182,1,0.55,5.57 (NA-NA),181,99.45,3.62 (3.37-3.88)
astrocytes microglia 23,140,0.297,42.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,208,0.136,15.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10)
oligodendrocytes 0,546,0.144,34.0,252,28,11.11,2.49 (1.87-3.12),224,88.89,4.37 (4.12-4.62)
microglia 1,214,0.139,31.0,227,17,7.49,3.52 (2.90-4.14),210,92.51,4.16 (3.90-4.41)
oligodendrocytes 3,457,0.174,74.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49)
oligodendrocytes 2,526,0.25,46.0,213,15,7.04,3.77 (3.17-4.36),198,92.96,4.00 (3.70-4.30)
