tipo_celular,module_size,CYB5D2_MM,CYB5D2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.119,56.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.084,3.0,353,3,0.85,1.58 (0.56-2.60),350,99.15,3.91 (3.73-4.10)
GABA neurons expressing GLU receptors 22,848.0,0.156,26.0,262,3,1.15,1.36 (0.40-2.32),259,98.85,4.20 (3.96-4.45)
GLU like neurons 17,380.0,0.203,74.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,168.0,0.151,65.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.107,40.0,169,2,1.18,1.39 (-0.26-3.05),167,98.82,3.51 (3.29-3.73)
GABA like neurons 14,2402.0,0.261,58.0,455,2,0.44,1.39 (-0.26-3.05),453,99.56,4.36 (4.17-4.54)
astrocytes 8,603.0,0.036,7.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.058,23.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,806.0,0.059,11.0,261,2,0.77,1.76 (0.84-2.69),259,99.23,4.39 (4.15-4.63)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.099,49.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,151.0,0.223,68.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.369,80.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.14,41.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,2078.0,0.103,27.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.034,1.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.139,44.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
