tipo_celular,module_size,DAAM1_MM,DAAM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.166,54.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,477,0.232,84.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,499,0.263,92.0,32,2,6.25,5.67 (3.04-8.29),30,93.75,4.96 (4.46-5.46)
oligodendrocyte progenitor cells 7,666,0.217,78.0,127,8,6.3,2.38 (0.99-3.77),119,93.7,3.98 (3.65-4.31)
GABA neurons expressing GLU receptors 22,192,0.102,28.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,489,0.179,71.0,42,3,7.14,5.22 (3.47-6.97),39,92.86,6.08 (5.49-6.67)
da like neurons 11,265,0.146,32.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,70,0.081,2.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,1653,0.157,72.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,279,0.179,39.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300,0.202,48.0,306,18,5.88,2.59 (1.78-3.40),288,94.12,5.32 (5.06-5.57)
astrocytes 8,577,0.082,48.0,83,2,2.41,0.87 (NA-NA),81,97.59,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,3303,0.113,85.0,276,9,3.26,1.73 (0.74-2.72),267,96.74,3.60 (3.39-3.82)
oligodendrocytes 10,735,0.105,56.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,152,0.271,61.0,21,5,23.81,7.00 (NA-NA),16,76.19,5.03 (3.61-6.45)
astrocytes 15,1401,0.155,90.0,96,8,8.33,3.61 (1.06-6.16),88,91.67,3.61 (3.15-4.07)
oligodendrocytes 16,61,0.185,44.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.127,67.0,122,6,4.92,0.88 (0.36-1.41),116,95.08,4.20 (3.82-4.58)
astrocytes microglia 23,89,0.278,46.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171,0.131,19.0,22,3,13.64,2.54 (NA-NA),19,86.36,4.67 (3.72-5.61)
oligodendrocytes 0,2078,0.13,81.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,1615,0.133,79.0,161,9,5.59,0.97 (0.26-1.69),152,94.41,3.44 (3.18-3.70)
oligodendrocytes 3,94,0.082,46.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630,0.154,75.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
