tipo_celular,module_size,DGUOK_MM,DGUOK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.392,99.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,518.0,0.074,3.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.089,4.0,353,22,6.23,1.63 (1.16-2.11),331,93.77,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,567.0,0.194,51.0,16,1,6.25,NA,15,93.75,1.97 (1.30-2.64)
GLU like neurons 17,1316.0,0.077,11.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,61.0,0.111,15.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.118,20.0,302,15,4.97,3.48 (2.94-4.02),287,95.03,4.02 (3.78-4.26)
oligodendrocytes 20,295.0,0.216,61.0,28,1,3.57,1.43 (NA-NA),27,96.43,2.22 (1.75-2.70)
GABA like neurons 14,2402.0,0.305,67.0,455,28,6.15,2.49 (1.95-3.04),427,93.85,4.51 (4.33-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.069,37.0,276,16,5.8,2.35 (1.82-2.88),260,94.2,3.64 (3.41-3.87)
oligodendrocytes 10,1277.0,0.033,4.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.345,68.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,66.0,0.184,27.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,115.0,0.274,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.115,51.0,238,5,2.1,1.99 (0.96-3.02),233,97.9,3.68 (3.46-3.90)
microglia 1,958.0,0.087,14.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05)
oligodendrocytes 3,854.0,0.051,7.0,76,3,3.95,2.68 (0.25-5.12),73,96.05,2.78 (2.45-3.12)
oligodendrocytes 2,1630.0,0.113,7.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
