tipo_celular,module_size,DPF3_MM,DPF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.134,81.0,80,7,8.75,4.73 (4.14-5.32),73,91.25,3.55 (3.11-3.99)
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,71,20.11,2.45 (2.15-2.75),282,79.89,4.40 (4.22-4.58)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.261,89.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.233,80.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.096,15.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69)
astrocytes 8,1266.0,0.161,90.0,66,20,30.3,1.84 (1.34-2.33),46,69.7,3.98 (3.55-4.40)
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,49,17.75,2.08 (1.87-2.30),227,82.25,3.98 (3.75-4.22)
oligodendrocytes 10,1277.0,0.18,85.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.162,92.0,96,7,7.29,2.07 (1.59-2.54),89,92.71,3.76 (3.29-4.24)
oligodendrocytes 16,91.0,0.167,17.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.286,65.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,251.0,0.175,58.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,1186.0,0.175,90.0,300,33,11.0,3.94 (3.64-4.25),267,89.0,3.77 (3.54-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.118,70.0,111,2,1.8,3.44 (2.01-4.87),109,98.2,3.30 (2.95-3.65)
oligodendrocytes 2,804.0,0.216,96.0,84,10,11.9,2.24 (1.25-3.22),74,88.1,2.77 (2.41-3.12)
