tipo_celular,module_size,DYNC2H1_MM,DYNC2H1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.21,78.0,32,11,34.38,6.21 (5.23-7.19),21,65.62,4.43 (4.25-4.62)
oligodendrocyte progenitor cells 7,448.0,0.098,18.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,1069.0,0.168,53.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795.0,0.264,89.0,80,9,11.25,5.88 (4.85-6.92),71,88.75,5.65 (5.20-6.10)
da like neurons 11,153.0,0.073,4.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.178,41.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,250.0,0.525,98.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300.0,0.234,62.0,306,15,4.9,2.91 (2.22-3.60),291,95.1,5.26 (5.00-5.53)
astrocytes 8,577.0,0.043,11.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,103.0,0.508,84.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,1277.0,0.076,28.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,77.0,0.212,20.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,377.0,0.193,78.0,14,6,42.86,1.99 (0.46-3.51),8,57.14,2.36 (-0.02-4.74)
oligodendrocytes 16,121.0,0.272,80.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.19,5.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,752.0,0.202,98.0,96,3,3.12,2.42 (0.75-4.09),93,96.88,3.33 (2.99-3.66)
oligodendrocytes 0,1186.0,0.148,56.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.091,47.0,127,1,0.79,6.89 (NA-NA),126,99.21,3.08 (2.76-3.41)
oligodendrocytes 2,804.0,0.156,55.0,84,8,9.52,2.06 (0.96-3.17),76,90.48,2.77 (2.42-3.12)
