tipo_celular,module_size,EEA1_MM,EEA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.116,6.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79)
T cells 18,610,0.204,82.0,98,17,17.35,2.09 (1.36-2.82),81,82.65,3.36 (3.04-3.69)
astrocytes 5,322,0.162,46.0,58,2,3.45,NA,56,96.55,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285,0.167,91.0,353,28,7.93,2.15 (1.64-2.65),325,92.07,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,487,0.24,59.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,795,0.082,19.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,265,0.262,77.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,357,0.093,11.0,237,8,3.38,3.40 (2.80-4.00),229,96.62,4.46 (4.22-4.69)
endothelial cells 9,1653,0.089,20.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,253,0.131,35.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052,0.18,82.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260,0.135,58.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303,0.079,50.0,276,14,5.07,2.67 (2.11-3.23),262,94.93,3.60 (3.37-3.83)
oligodendrocytes 10,735,0.039,7.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,136,0.342,70.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768,0.14,88.0,105,9,8.57,1.74 (1.16-2.31),96,91.43,3.36 (3.01-3.71)
oligodendrocytes 16,91,0.124,0.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.073,7.0,124,2,1.61,2.45 (-1.56-6.46),122,98.39,4.22 (3.83-4.62)
astrocytes microglia 23,89,0.229,15.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.141,32.0,96,1,1.04,NA,95,98.96,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.129,27.0,300,3,1.0,3.29 (0.88-5.70),297,99.0,3.80 (3.59-4.00)
microglia 1,1615,0.092,25.0,161,15,9.32,1.63 (0.92-2.34),146,90.68,3.48 (3.22-3.75)
oligodendrocytes 3,1003,0.106,61.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.1,6.0,200,8,4.0,3.00 (2.26-3.73),192,96.0,3.65 (3.38-3.93)
