tipo_celular,module_size,ETFB_MM,ETFB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.151,44.0,213,22,10.33,1.84 (1.21-2.48),191,89.67,4.04 (3.81-4.27)
endothelial cells 9,916.0,0.284,68.0,302,9,2.98,3.08 (2.02-4.15),293,97.02,4.01 (3.78-4.25)
oligodendrocytes 20,938.0,0.321,96.0,169,10,5.92,2.83 (1.73-3.92),159,94.08,3.53 (3.30-3.75)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.18,83.0,277,2,0.72,3.27 (2.98-3.56),275,99.28,3.90 (3.66-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.191,43.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729.0,0.188,68.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.209,68.0,252,22,8.73,1.89 (1.26-2.52),230,91.27,4.36 (4.13-4.60)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.144,54.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.458,89.0,213,6,2.82,3.91 (3.10-4.71),207,97.18,3.98 (3.70-4.26)
