tipo_celular,module_size,EXOC1_MM,EXOC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.135,33.0,32,2,6.25,5.16 (NA-NA),30,93.75,3.67 (2.87-4.47)
T cells 18,624,0.139,38.0,142,4,2.82,3.25 (2.99-3.50),138,97.18,3.21 (2.93-3.48)
astrocytes 5,1141,0.137,60.0,166,11,6.63,2.48 (1.36-3.60),155,93.37,3.45 (3.20-3.71)
oligodendrocyte progenitor cells 7,4285,0.112,19.0,353,31,8.78,3.21 (2.49-3.93),322,91.22,3.97 (3.78-4.16)
GABA neurons expressing GLU receptors 22,714,0.228,73.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1316,0.133,58.0,101,6,5.94,5.08 (3.75-6.42),95,94.06,2.92 (2.57-3.26)
da like neurons 11,153,0.224,46.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,357,0.243,80.0,237,12,5.06,4.50 (3.41-5.58),225,94.94,4.40 (4.16-4.64)
endothelial cells 9,658,0.07,5.0,120,5,4.17,3.25 (2.16-4.34),115,95.83,4.68 (4.35-5.00)
oligodendrocytes 20,279,0.186,42.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402,0.146,23.0,455,19,4.18,3.56 (2.53-4.59),436,95.82,4.39 (4.20-4.57)
astrocytes 8,727,0.17,81.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.103,77.0,276,20,7.25,2.75 (1.98-3.51),256,92.75,3.62 (3.40-3.85)
oligodendrocytes 10,735,0.101,53.0,277,1,0.36,4.70 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,90,0.281,42.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,1768,0.086,49.0,105,14,13.33,3.05 (1.81-4.29),91,86.67,3.24 (2.91-3.57)
oligodendrocytes 16,104,0.2,40.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,518,0.169,87.0,122,13,10.66,1.80 (1.34-2.26),109,89.34,4.34 (3.94-4.74)
astrocytes microglia 23,78,0.247,10.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.153,48.0,96,1,1.04,3.16 (NA-NA),95,98.96,3.29 (2.96-3.63)
oligodendrocytes 0,1186,0.125,22.0,300,7,2.33,3.12 (2.65-3.59),293,97.67,3.81 (3.60-4.02)
microglia 1,1615,0.093,26.0,161,18,11.18,3.00 (1.93-4.08),143,88.82,3.32 (3.05-3.58)
oligodendrocytes 3,639,0.077,34.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23)
oligodendrocytes 2,804,0.103,5.0,84,6,7.14,1.04 (0.56-1.52),78,92.86,2.85 (2.51-3.19)
