tipo_celular,module_size,FAM177A1_MM,FAM177A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.198,55.0,102,1,0.98,1.95 (NA-NA),101,99.02,3.52 (3.15-3.88)
T cells 18,518,0.216,81.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656,0.095,20.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.159,84.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,703,0.215,67.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,637,0.117,31.0,91,1,1.1,1.95 (NA-NA),90,98.9,4.58 (4.05-5.10)
da like neurons 11,1220,0.117,23.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,417,0.126,24.0,213,2,0.94,1.25 (-0.12-2.62),211,99.06,3.78 (3.53-4.03)
endothelial cells 9,916,0.12,20.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21)
oligodendrocytes 20,938,0.146,60.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,2402,0.262,58.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,520,0.101,42.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,708,0.037,5.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,806,0.075,16.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,88,0.416,92.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.126,80.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,66,0.166,19.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.127,36.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,116,0.28,24.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,1807,0.14,40.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,309,0.107,21.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,958,0.078,6.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,854,0.053,8.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,528,0.092,3.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
