tipo_celular,module_size,FBN1_MM,FBN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.113,25.0,166,8,4.82,1.68 (0.95-2.41),158,95.18,3.50 (3.24-3.75)
oligodendrocyte progenitor cells 7,4285.0,0.16,86.0,353,20,5.67,1.78 (1.25-2.31),333,94.33,4.06 (3.87-4.24)
GABA neurons expressing GLU receptors 22,459.0,0.147,45.0,165,18,10.91,2.92 (2.34-3.51),147,89.09,5.47 (5.13-5.81)
GLU like neurons 17,795.0,0.065,7.0,80,2,2.5,3.40 (1.50-5.30),78,97.5,5.77 (5.36-6.17)
da like neurons 11,204.0,0.374,98.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.226,77.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300.0,0.191,42.0,306,28,9.15,2.74 (2.32-3.17),278,90.85,5.46 (5.20-5.72)
astrocytes 8,771.0,0.086,34.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.24,81.0,32,11,34.38,1.89 (1.03-2.76),21,65.62,4.12 (3.10-5.14)
oligodendrocytes 10,1277.0,0.222,95.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.213,26.0,32,3,9.38,4.08 (0.81-7.35),29,90.62,5.23 (4.60-5.86)
astrocytes 15,1401.0,0.032,5.0,96,7,7.29,4.13 (3.34-4.92),89,92.71,3.56 (3.08-4.05)
oligodendrocytes 16,199.0,0.155,40.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,62.0,0.307,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.159,59.0,96,2,2.08,2.64 (2.44-2.84),94,97.92,3.31 (2.97-3.64)
oligodendrocytes 0,187.0,0.187,59.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.204,87.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131.0,0.31,90.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
