tipo_celular,module_size,GRAMD1A_MM,GRAMD1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.231,82.0,97,4,4.12,3.77 (3.66-3.88),93,95.88,3.02 (2.61-3.43)
T cells 18,610.0,0.107,17.0,98,13,13.27,1.57 (0.86-2.29),85,86.73,3.39 (3.07-3.70)
astrocytes 5,932.0,0.088,19.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,19,5.38,1.67 (1.13-2.22),334,94.62,4.06 (3.87-4.24)
GABA neurons expressing GLU receptors 22,400.0,0.245,76.0,24,11,45.83,1.49 (0.75-2.22),13,54.17,2.72 (2.16-3.28)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.128,48.0,133,11,8.27,1.84 (0.91-2.77),122,91.73,3.41 (3.09-3.73)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.112,16.0,120,7,5.83,2.56 (1.96-3.17),113,94.17,4.75 (4.44-5.07)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.109,11.0,455,18,3.96,2.05 (1.38-2.71),437,96.04,4.47 (4.29-4.66)
astrocytes 8,1266.0,0.09,60.0,66,8,12.12,1.07 (0.28-1.86),58,87.88,3.58 (3.19-3.97)
oligodendrocyte progenitor cells 12,3303.0,0.092,67.0,276,10,3.62,2.14 (1.61-2.67),266,96.38,3.61 (3.39-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.415,98.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1401.0,0.087,51.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.345,72.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.175,88.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.164,84.0,79,7,8.86,3.26 (2.60-3.91),72,91.14,3.08 (2.64-3.53)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
