tipo_celular,module_size,HACD3_MM,HACD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.27,79.0,21,9,42.86,1.26 (0.43-2.09),12,57.14,3.15 (2.62-3.69)
T cells 18,349,0.153,39.0,68,5,7.35,2.61 (0.56-4.65),63,92.65,4.56 (4.00-5.11)
astrocytes 5,228,0.096,5.0,266,15,5.64,1.59 (0.90-2.27),251,94.36,4.27 (4.08-4.47)
oligodendrocyte progenitor cells 7,296,0.145,27.0,251,1,0.4,3.42 (NA-NA),250,99.6,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.248,64.0,262,12,4.58,2.00 (0.95-3.06),250,95.42,4.25 (4.01-4.50)
GLU like neurons 17,1316,0.124,50.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43)
da like neurons 11,1220,0.201,57.0,410,10,2.44,2.83 (1.53-4.12),400,97.56,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,265,0.226,77.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,338,0.161,61.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,938,0.142,58.0,169,11,6.51,2.08 (1.02-3.13),158,93.49,3.57 (3.35-3.78)
GABA like neurons 14,2402,0.353,74.0,455,19,4.18,1.64 (0.88-2.40),436,95.82,4.49 (4.31-4.67)
astrocytes 8,577,0.094,57.0,83,3,3.61,1.70 (0.08-3.32),80,96.39,3.30 (2.84-3.75)
oligodendrocyte progenitor cells 12,1049,0.087,47.0,235,2,0.85,2.52 (0.11-4.92),233,99.15,3.84 (3.60-4.07)
oligodendrocytes 10,806,0.256,72.0,261,6,2.3,2.57 (1.63-3.50),255,97.7,4.42 (4.18-4.67)
connective tissue cells 21,111,0.257,38.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768,0.127,82.0,105,11,10.48,1.56 (0.96-2.16),94,89.52,3.42 (3.08-3.77)
oligodendrocytes 16,313,0.177,33.0,291,5,1.72,1.86 (0.88-2.84),286,98.28,4.37 (4.15-4.59)
da neurons 6,409,0.152,63.0,235,8,3.4,3.54 (2.13-4.95),227,96.6,3.99 (3.74-4.25)
astrocytes microglia 23,166,0.178,10.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,201,0.136,21.0,18,8,44.44,4.91 (4.01-5.81),10,55.56,4.25 (2.82-5.67)
oligodendrocytes 0,613,0.112,17.0,127,1,0.79,4.17 (NA-NA),126,99.21,3.04 (2.62-3.45)
microglia 1,214,0.128,24.0,227,4,1.76,2.77 (1.48-4.07),223,98.24,4.12 (3.89-4.36)
oligodendrocytes 3,457,0.1,40.0,345,5,1.45,3.34 (1.73-4.94),340,98.55,4.29 (4.08-4.50)
oligodendrocytes 2,528,0.249,72.0,175,10,5.71,3.98 (2.59-5.37),165,94.29,4.40 (4.04-4.77)
