tipo_celular,module_size,HELLS_MM,HELLS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,1069.0,0.11,13.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,685.0,0.088,20.0,135,16,11.85,1.67 (1.20-2.14),119,88.15,3.44 (3.12-3.76)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.221,77.0,31,1,3.23,NA,30,96.77,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.103,20.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.332,93.0,358,42,11.73,1.97 (1.54-2.39),316,88.27,4.18 (3.99-4.36)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,94.0,0.3,92.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,309.0,0.105,20.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.102,47.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.159,83.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
