tipo_celular,module_size,HNRNPLL_MM,HNRNPLL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.281,83.0,21,6,28.57,0.55 (0.29-0.81),15,71.43,3.05 (2.54-3.56)
T cells 18,624.0,0.225,90.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.12,57.0,136,8,5.88,1.87 (1.38-2.35),128,94.12,3.30 (3.02-3.58)
oligodendrocyte progenitor cells 7,4285.0,0.168,93.0,353,33,9.35,1.54 (1.25-1.83),320,90.65,4.20 (4.03-4.38)
GABA neurons expressing GLU receptors 22,714.0,0.302,91.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.089,18.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,102.0,0.159,26.0,8,0,0.0,NA,8,100.0,2.36 (0.98-3.74)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.1,48.0,275,38,13.82,1.80 (1.48-2.12),237,86.18,4.47 (4.22-4.73)
oligodendrocytes 20,279.0,0.247,63.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.166,73.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.044,17.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.1,75.0,276,30,10.87,1.74 (1.50-1.99),246,89.13,3.83 (3.61-4.05)
oligodendrocytes 10,1277.0,0.02,1.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,139.0,0.274,39.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401.0,0.082,47.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,121.0,0.276,83.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,80.0,0.339,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.16,79.0,104,20,19.23,1.47 (1.14-1.81),84,80.77,3.23 (2.93-3.52)
oligodendrocytes 0,2078.0,0.13,82.0,238,7,2.94,2.07 (1.37-2.76),231,97.06,3.69 (3.47-3.92)
microglia 1,958.0,0.108,45.0,290,10,3.45,2.29 (1.39-3.20),280,96.55,3.88 (3.64-4.11)
oligodendrocytes 3,743.0,0.065,25.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.153,73.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
