tipo_celular,module_size,IMMP2L_MM,IMMP2L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.162,30.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,388.0,0.213,77.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,499.0,0.12,21.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,448.0,0.06,4.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459.0,0.173,57.0,165,1,0.61,2.61 (NA-NA),164,99.39,5.09 (4.74-5.43)
GLU like neurons 17,795.0,0.067,8.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,140.0,0.308,75.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.283,100.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,322.0,0.207,79.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300.0,0.194,44.0,306,8,2.61,1.98 (1.35-2.62),298,97.39,5.22 (4.96-5.48)
astrocytes 8,283.0,0.254,94.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,153.0,0.163,14.0,27,2,7.41,1.78 (0.16-3.40),25,92.59,5.30 (4.50-6.09)
oligodendrocytes 10,2107.0,0.425,99.0,358,28,7.82,1.88 (1.36-2.39),330,92.18,4.09 (3.91-4.28)
connective tissue cells 21,147.0,0.202,35.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418.0,0.249,64.0,54,3,5.56,2.06 (1.28-2.84),51,94.44,3.79 (3.34-4.24)
oligodendrocytes 16,149.0,0.142,21.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.225,32.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,171.0,0.119,12.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,1186.0,0.163,80.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,315.0,0.086,9.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,1003.0,0.172,90.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.149,24.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
