tipo_celular,module_size,KAT6A_MM,KAT6A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.149,13.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,388.0,0.12,32.0,84,11,13.1,2.81 (2.37-3.24),73,86.9,3.00 (2.63-3.37)
astrocytes 5,1141.0,0.151,77.0,166,53,31.93,2.52 (2.23-2.82),113,68.07,3.90 (3.59-4.22)
oligodendrocyte progenitor cells 7,4285.0,0.142,60.0,353,85,24.08,2.40 (2.15-2.65),268,75.92,4.52 (4.34-4.70)
GABA neurons expressing GLU receptors 22,703.0,0.209,63.0,23,3,13.04,2.29 (1.14-3.45),20,86.96,2.06 (1.25-2.87)
GLU like neurons 17,685.0,0.132,51.0,135,39,28.89,2.26 (1.94-2.59),96,71.11,3.67 (3.28-4.06)
da like neurons 11,197.0,0.274,70.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.237,73.0,141,10,7.09,2.03 (1.45-2.60),131,92.91,3.03 (2.78-3.28)
oligodendrocytes 20,295.0,0.14,29.0,28,11,39.29,3.04 (2.44-3.64),17,60.71,1.66 (1.16-2.16)
GABA like neurons 14,3052.0,0.139,50.0,125,6,4.8,3.57 (3.22-3.92),119,95.2,3.34 (3.00-3.68)
astrocytes 8,727.0,0.122,60.0,29,4,13.79,3.84 (3.40-4.27),25,86.21,2.10 (1.60-2.60)
oligodendrocyte progenitor cells 12,708.0,0.129,58.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,2107.0,0.349,94.0,358,101,28.21,2.41 (2.18-2.64),257,71.79,4.67 (4.49-4.85)
connective tissue cells 21,111.0,0.229,20.0,26,5,19.23,2.73 (2.12-3.34),21,80.77,2.46 (1.59-3.32)
astrocytes 15,377.0,0.15,48.0,14,5,35.71,1.37 (0.15-2.58),9,64.29,2.90 (0.82-4.99)
oligodendrocytes 16,151.0,0.131,10.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.198,21.0,47,11,23.4,2.93 (2.33-3.54),36,76.6,2.81 (2.41-3.21)
astrocytes 4,752.0,0.164,65.0,96,17,17.71,2.81 (2.43-3.19),79,82.29,3.43 (3.02-3.83)
oligodendrocytes 0,1186.0,0.181,93.0,300,23,7.67,3.46 (3.19-3.74),277,92.33,3.83 (3.60-4.05)
microglia 1,958.0,0.105,41.0,290,26,8.97,2.69 (2.18-3.20),264,91.03,3.94 (3.70-4.18)
oligodendrocytes 3,1003.0,0.125,74.0,111,4,3.6,3.44 (2.67-4.22),107,96.4,3.30 (2.94-3.65)
oligodendrocytes 2,407.0,0.142,35.0,122,68,55.74,2.37 (2.09-2.64),54,44.26,5.67 (5.17-6.16)
