tipo_celular,module_size,KDM6A_MM,KDM6A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.192,37.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,477.0,0.261,91.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.15,75.0,166,24,14.46,2.28 (1.77-2.79),142,85.54,3.61 (3.35-3.88)
oligodendrocyte progenitor cells 7,666.0,0.2,72.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,567.0,0.265,75.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.206,65.0,91,9,9.89,0.86 (0.39-1.33),82,90.11,5.11 (4.66-5.55)
da like neurons 11,209.0,0.171,49.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.196,88.0,297,4,1.35,3.96 (2.99-4.93),293,98.65,3.67 (3.46-3.88)
oligodendrocytes 20,676.0,0.681,95.0,110,4,3.64,1.11 (0.68-1.54),106,96.36,5.20 (4.78-5.62)
GABA like neurons 14,3052.0,0.079,8.0,125,1,0.8,3.17 (NA-NA),124,99.2,3.35 (3.03-3.68)
astrocytes 8,771.0,0.161,59.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.14,63.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,236.0,0.414,30.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,139.0,0.209,8.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,377.0,0.175,68.0,14,5,35.71,1.37 (0.15-2.58),9,64.29,2.90 (0.82-4.99)
oligodendrocytes 16,153.0,0.375,54.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.18,1.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,752.0,0.219,100.0,96,1,1.04,1.91 (NA-NA),95,98.96,3.31 (2.98-3.64)
oligodendrocytes 0,261.0,0.175,42.0,42,6,14.29,1.22 (0.89-1.56),36,85.71,4.72 (4.10-5.33)
microglia 1,480.0,0.14,24.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,116.0,0.274,53.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,237.0,0.216,51.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
