tipo_celular,module_size,LDHA_MM,LDHA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.324,86.0,140,37,26.43,5.28 (4.67-5.90),103,73.57,4.19 (3.67-4.71)
T cells 18,282.0,0.254,81.0,241,40,16.6,4.77 (4.19-5.36),201,83.4,3.91 (3.64-4.18)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.194,43.0,262,24,9.16,3.18 (2.53-3.84),238,90.84,4.27 (4.01-4.53)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.468,96.0,410,36,8.78,3.60 (3.15-4.06),374,91.22,4.32 (4.12-4.52)
GABA neurons expressing GABA receptors 13,265.0,0.306,92.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,916.0,0.282,68.0,302,23,7.62,3.53 (3.10-3.95),279,92.38,4.03 (3.79-4.28)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.538,91.0,455,41,9.01,2.86 (2.29-3.44),414,90.99,4.52 (4.33-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,116.0,0.425,94.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.319,96.0,235,36,15.32,4.19 (3.69-4.70),199,84.68,3.92 (3.63-4.21)
astrocytes microglia 23,134.0,0.277,30.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,214.0,0.202,56.0,227,32,14.1,4.05 (3.63-4.47),195,85.9,4.10 (3.83-4.37)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
