tipo_celular,module_size,LMBR1_MM,LMBR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.114,19.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610,0.176,68.0,98,2,2.04,1.08 (-0.63-2.78),96,97.96,3.17 (2.85-3.48)
astrocytes 5,1141,0.13,49.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68)
oligodendrocyte progenitor cells 7,4285,0.178,97.0,353,3,0.85,0.90 (-0.14-1.94),350,99.15,3.92 (3.74-4.11)
GABA neurons expressing GLU receptors 22,203,0.268,52.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,795,0.104,32.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,109,0.205,46.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,266,0.165,56.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,658,0.394,92.0,120,5,4.17,2.19 (1.84-2.53),115,95.83,4.73 (4.42-5.04)
oligodendrocytes 20,322,0.227,83.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300,0.193,43.0,306,9,2.94,1.57 (1.01-2.14),297,97.06,5.25 (5.00-5.51)
astrocytes 8,283,0.211,82.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.134,96.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81)
oligodendrocytes 10,2107,0.194,67.0,358,6,1.68,0.90 (0.43-1.37),352,98.32,3.93 (3.74-4.12)
connective tissue cells 21,69,0.296,53.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,367,0.133,44.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,121,0.165,15.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,448,0.157,86.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,124,0.259,21.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,721,0.162,72.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.144,48.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958,0.151,90.0,290,3,1.03,0.90 (0.75-1.04),287,98.97,3.85 (3.62-4.08)
oligodendrocytes 3,681,0.099,55.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89)
oligodendrocytes 2,921,0.144,63.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
