tipo_celular,module_size,LRCH3_MM,LRCH3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.122,23.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,727.0,0.168,69.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932.0,0.111,53.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,448.0,0.124,35.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,714.0,0.155,34.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795.0,0.084,20.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,289.0,0.184,49.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.195,88.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,233.0,0.166,36.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,1300.0,0.221,57.0,306,6,1.96,2.29 (1.06-3.51),300,98.04,5.18 (4.92-5.44)
astrocytes 8,354.0,0.169,75.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,138.0,0.409,21.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107.0,0.272,85.0,358,9,2.51,1.46 (0.75-2.17),349,97.49,3.94 (3.75-4.13)
connective tissue cells 21,126.0,0.241,24.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48)
astrocytes 15,1401.0,0.139,85.0,96,2,2.08,3.40 (1.11-5.69),94,97.92,3.62 (3.16-4.08)
oligodendrocytes 16,94.0,0.128,7.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.254,49.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752.0,0.127,15.0,96,1,1.04,4.57 (NA-NA),95,98.96,3.27 (2.94-3.61)
oligodendrocytes 0,1186.0,0.175,90.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.111,50.0,290,2,0.69,1.74 (1.73-1.75),288,99.31,3.83 (3.60-4.06)
oligodendrocytes 3,1003.0,0.13,76.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.172,72.0,84,5,5.95,1.37 (0.67-2.07),79,94.05,2.79 (2.45-3.14)
