tipo_celular,module_size,LUZP1_MM,LUZP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.153,20.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,477.0,0.265,92.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.064,1.0,166,5,3.01,1.23 (0.56-1.90),161,96.99,3.44 (3.19-3.69)
oligodendrocyte progenitor cells 7,666.0,0.167,50.0,127,5,3.94,3.18 (NA-NA),122,96.06,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,823.0,0.207,69.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.156,66.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.168,42.0,8,2,25.0,NA,6,75.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.164,55.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,412.0,0.206,62.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.174,34.0,306,10,3.27,3.39 (2.57-4.20),296,96.73,5.18 (4.91-5.45)
astrocytes 8,1266.0,0.086,55.0,66,11,16.67,2.43 (1.19-3.67),55,83.33,3.38 (2.94-3.81)
oligodendrocyte progenitor cells 12,3303.0,0.088,61.0,276,7,2.54,2.04 (0.72-3.36),269,97.46,3.58 (3.36-3.80)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,103.0,0.191,4.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,261.0,0.131,38.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.094,40.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,39.0,0.248,16.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,752.0,0.157,56.0,96,4,4.17,1.57 (1.57-1.57),92,95.83,3.34 (3.00-3.67)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.168,94.0,290,2,0.69,1.57 (1.57-1.57),288,99.31,3.83 (3.60-4.06)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
