tipo_celular,module_size,MT-ND4_MM,MT-ND4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.295,88.0,73,5,6.85,4.91 (NA-NA),68,93.15,3.54 (3.19-3.89)
T cells 18,506,0.147,35.0,225,38,16.89,3.42 (3.03-3.81),187,83.11,3.67 (3.36-3.97)
astrocytes 5,228,0.168,46.0,266,80,30.08,3.39 (3.09-3.69),186,69.92,4.57 (4.31-4.83)
oligodendrocyte progenitor cells 7,296,0.18,51.0,251,37,14.74,3.75 (3.54-3.95),214,85.26,4.15 (3.85-4.44)
GABA neurons expressing GLU receptors 22,192,0.826,100.0,55,45,81.82,3.94 (3.58-4.29),10,18.18,4.41 (2.73-6.10)
GLU like neurons 17,637,0.218,68.0,91,12,13.19,1.08 (0.54-1.62),79,86.81,5.22 (4.78-5.65)
da like neurons 11,1220,0.255,72.0,410,85,20.73,3.76 (3.49-4.03),325,79.27,4.42 (4.19-4.65)
GABA neurons expressing GABA receptors 13,238,0.469,99.0,36,2,5.56,NA,34,94.44,3.88 (3.35-4.40)
endothelial cells 9,338,0.192,71.0,191,16,8.38,3.35 (2.85-3.85),175,91.62,3.94 (3.70-4.18)
oligodendrocytes 20,279,0.101,12.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,1300,0.074,6.0,306,14,4.58,2.55 (1.93-3.17),292,95.42,5.28 (5.02-5.54)
astrocytes 8,47,0.73,92.0,76,26,34.21,4.06 (3.39-4.74),50,65.79,4.01 (3.68-4.34)
oligodendrocyte progenitor cells 12,708,0.129,58.0,25,3,12.0,2.08 (0.04-4.13),22,88.0,3.00 (1.91-4.09)
oligodendrocytes 10,735,0.279,98.0,277,20,7.22,3.97 (3.88-4.06),257,92.78,3.89 (3.62-4.15)
connective tissue cells 21,147,0.163,14.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418,0.329,75.0,54,26,48.15,3.58 (3.16-4.01),28,51.85,3.78 (3.01-4.55)
oligodendrocytes 16,149,0.335,84.0,70,1,1.43,NA,69,98.57,5.65 (5.18-6.12)
da neurons 6,553,0.338,98.0,124,5,4.03,2.37 (0.94-3.80),119,95.97,4.27 (3.87-4.67)
astrocytes microglia 23,46,0.743,87.0,73,67,91.78,3.90 (3.62-4.18),6,8.22,6.54 (5.58-7.51)
astrocytes 4,157,0.456,92.0,178,76,42.7,3.43 (3.11-3.75),102,57.3,4.94 (4.59-5.30)
oligodendrocytes 0,116,0.537,94.0,169,16,9.47,3.10 (2.57-3.62),153,90.53,4.41 (4.10-4.73)
microglia 1,214,0.235,67.0,227,70,30.84,3.80 (3.55-4.06),157,69.16,4.27 (3.93-4.61)
oligodendrocytes 3,32,0.801,94.0,81,73,90.12,3.90 (3.62-4.18),8,9.88,5.61 (4.17-7.06)
oligodendrocytes 2,99,0.504,92.0,116,13,11.21,3.22 (2.63-3.81),103,88.79,4.05 (3.73-4.38)
