tipo_celular,module_size,MVB12B_MM,MVB12B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.179,61.0,32,2,6.25,3.37 (1.15-5.58),30,93.75,3.75 (2.92-4.58)
T cells 18,388.0,0.267,88.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30)
astrocytes 5,165.0,0.183,48.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.291,84.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,1069.0,0.294,99.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637.0,0.214,67.0,91,16,17.58,1.53 (0.96-2.11),75,82.42,5.40 (4.98-5.82)
da like neurons 11,408.0,0.247,66.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.412,80.0,74,4,5.41,3.78 (2.20-5.37),70,94.59,5.61 (5.04-6.18)
oligodendrocytes 20,676.0,0.169,40.0,110,6,5.45,1.60 (0.91-2.28),104,94.55,5.27 (4.86-5.69)
GABA like neurons 14,1300.0,0.292,86.0,306,24,7.84,2.31 (1.83-2.80),282,92.16,5.46 (5.21-5.71)
astrocytes 8,771.0,0.424,88.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.467,96.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,204.0,0.425,45.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,106.0,0.352,83.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,458.0,0.192,83.0,36,2,5.56,3.95 (2.83-5.06),34,94.44,3.75 (2.56-4.94)
oligodendrocytes 16,287.0,0.336,57.0,105,7,6.67,1.61 (1.06-2.16),98,93.33,5.46 (5.07-5.85)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.303,80.0,47,2,4.26,2.41 (-0.47-5.28),45,95.74,2.87 (2.54-3.20)
astrocytes 4,752.0,0.126,15.0,96,1,1.04,3.81 (NA-NA),95,98.96,3.28 (2.95-3.62)
oligodendrocytes 0,261.0,0.114,14.0,42,6,14.29,1.22 (0.89-1.56),36,85.71,4.72 (4.10-5.33)
microglia 1,1615.0,0.192,99.0,161,25,15.53,1.91 (1.34-2.47),136,84.47,3.59 (3.32-3.86)
oligodendrocytes 3,242.0,0.166,67.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.274,79.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
