tipo_celular,module_size,NFATC3_MM,NFATC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.104,14.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,506.0,0.094,9.0,225,20,8.89,2.55 (1.98-3.12),205,91.11,3.76 (3.49-4.02)
astrocytes 5,932.0,0.074,5.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,666.0,0.195,69.0,127,10,7.87,1.96 (1.40-2.51),117,92.13,4.08 (3.74-4.42)
GABA neurons expressing GLU receptors 22,823.0,0.166,42.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1247.0,0.135,50.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,215.0,0.27,73.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.142,62.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88)
oligodendrocytes 20,403.0,0.188,73.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95)
GABA like neurons 14,2090.0,0.249,94.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,1266.0,0.078,46.0,66,22,33.33,2.06 (1.53-2.58),44,66.67,3.96 (3.51-4.41)
oligodendrocyte progenitor cells 12,708.0,0.07,24.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.314,90.0,358,73,20.39,2.19 (1.93-2.44),285,79.61,4.50 (4.32-4.68)
connective tissue cells 21,111.0,0.363,81.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.145,88.0,96,7,7.29,2.39 (1.58-3.20),89,92.71,3.73 (3.25-4.21)
oligodendrocytes 16,121.0,0.144,10.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.17,4.0,57,5,8.77,2.70 (2.11-3.28),52,91.23,2.65 (2.25-3.04)
astrocytes 4,721.0,0.141,29.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.165,83.0,300,15,5.0,3.35 (2.99-3.70),285,95.0,3.82 (3.61-4.04)
microglia 1,1615.0,0.121,66.0,161,58,36.02,2.12 (1.85-2.40),103,63.98,4.17 (3.88-4.47)
oligodendrocytes 3,1003.0,0.095,49.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,407.0,0.148,45.0,122,63,51.64,2.26 (1.99-2.53),59,48.36,5.37 (4.86-5.88)
