tipo_celular,module_size,NFXL1_MM,NFXL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.09,8.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656.0,0.117,52.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.18,98.0,353,34,9.63,1.49 (1.25-1.73),319,90.37,4.23 (4.06-4.40)
GABA neurons expressing GLU receptors 22,714.0,0.119,13.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795.0,0.105,33.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,153.0,0.285,68.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.445,98.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.131,42.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.159,77.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.097,72.0,276,30,10.87,1.67 (1.47-1.88),246,89.13,3.85 (3.63-4.07)
oligodendrocytes 10,2107.0,0.081,18.0,358,40,11.17,1.50 (1.28-1.72),318,88.83,4.28 (4.11-4.45)
connective tissue cells 21,139.0,0.391,94.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,268.0,0.031,3.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81)
oligodendrocytes 16,121.0,0.255,79.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.316,59.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.168,88.0,104,17,16.35,1.26 (1.00-1.53),87,83.65,3.21 (2.92-3.49)
oligodendrocytes 0,2078.0,0.115,52.0,238,8,3.36,2.01 (1.45-2.57),230,96.64,3.70 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.084,42.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630.0,0.148,63.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
