tipo_celular,module_size,NR1D2_MM,NR1D2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.257,88.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,518,0.222,83.0,131,4,3.05,3.00 (2.03-3.97),127,96.95,3.08 (2.79-3.36)
astrocytes 5,423,0.112,22.0,80,5,6.25,4.24 (2.61-5.86),75,93.75,3.34 (2.84-3.83)
oligodendrocyte progenitor cells 7,4285,0.122,29.0,353,56,15.86,2.08 (1.81-2.36),297,84.14,4.36 (4.18-4.54)
GABA neurons expressing GLU receptors 22,567,0.166,38.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,380,0.193,66.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,289,0.203,59.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,266,0.134,34.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,586,0.102,19.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,253,0.121,30.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052,0.099,17.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577,0.099,61.0,83,8,9.64,3.55 (1.56-5.54),75,90.36,3.22 (2.76-3.68)
oligodendrocyte progenitor cells 12,3303,0.107,81.0,276,44,15.94,2.03 (1.80-2.25),232,84.06,3.94 (3.71-4.18)
oligodendrocytes 10,806,0.111,31.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,116,0.255,32.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,443,0.193,79.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,156,0.168,29.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,448,0.108,58.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78)
astrocytes microglia 23,96,0.258,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.154,31.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95)
oligodendrocytes 0,1186,0.16,75.0,300,17,5.67,3.60 (2.95-4.25),283,94.33,3.81 (3.59-4.02)
microglia 1,346,0.111,22.0,43,1,2.33,4.41 (NA-NA),42,97.67,3.75 (3.23-4.27)
oligodendrocytes 3,1003,0.075,26.0,111,2,1.8,5.15 (0.37-9.93),109,98.2,3.26 (2.93-3.60)
oligodendrocytes 2,921,0.163,87.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
