tipo_celular,module_size,NUP54_MM,NUP54_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.173,61.0,71,8,11.27,2.75 (1.81-3.70),63,88.73,2.60 (2.15-3.06)
T cells 18,282.0,0.222,79.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.121,60.0,136,2,1.47,4.36 (3.99-4.72),134,98.53,3.19 (2.92-3.46)
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,36,10.2,2.48 (1.97-2.99),317,89.8,4.08 (3.90-4.27)
GABA neurons expressing GLU receptors 22,714.0,0.25,81.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1316.0,0.08,12.0,101,2,1.98,3.15 (1.13-5.18),99,98.02,3.05 (2.69-3.41)
da like neurons 11,153.0,0.155,25.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.081,12.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,295.0,0.245,73.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.128,40.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66)
astrocytes 8,727.0,0.102,46.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303.0,0.103,78.0,276,25,9.06,2.88 (2.32-3.44),251,90.94,3.61 (3.38-3.85)
oligodendrocytes 10,2107.0,0.106,31.0,358,35,9.78,2.52 (1.96-3.08),323,90.22,4.03 (3.84-4.23)
connective tissue cells 21,126.0,0.316,68.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48)
astrocytes 15,338.0,0.253,94.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,86.0,0.303,98.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.302,47.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.149,58.0,104,11,10.58,2.09 (1.14-3.04),93,89.42,2.96 (2.67-3.25)
oligodendrocytes 0,2078.0,0.134,88.0,238,14,5.88,3.64 (2.60-4.68),224,94.12,3.64 (3.41-3.86)
microglia 1,958.0,0.117,59.0,290,21,7.24,3.47 (3.01-3.92),269,92.76,3.84 (3.60-4.09)
oligodendrocytes 3,1003.0,0.065,16.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.133,31.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52)
