tipo_celular,module_size,PANK2_MM,PANK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.157,21.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,518,0.099,13.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656,0.14,86.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285,0.137,53.0,353,28,7.93,1.74 (1.31-2.17),325,92.07,4.14 (3.96-4.31)
GABA neurons expressing GLU receptors 22,848,0.08,3.0,262,8,3.05,2.67 (1.43-3.91),254,96.95,4.22 (3.98-4.47)
GLU like neurons 17,1247,0.078,13.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,1220,0.064,2.0,410,14,3.41,3.17 (2.62-3.73),396,96.59,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,86,0.182,65.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,586,0.066,6.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,358,0.374,96.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090,0.078,5.0,74,4,5.41,2.00 (1.56-2.45),70,94.59,3.00 (2.61-3.40)
astrocytes 8,1266,0.046,11.0,66,17,25.76,1.99 (1.31-2.68),49,74.24,3.75 (3.32-4.18)
oligodendrocyte progenitor cells 12,3303,0.071,40.0,276,25,9.06,2.30 (1.80-2.80),251,90.94,3.71 (3.48-3.94)
oligodendrocytes 10,2107,0.124,40.0,358,29,8.1,1.64 (1.22-2.06),329,91.9,4.13 (3.95-4.32)
connective tissue cells 21,73,0.228,25.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.069,34.0,96,3,3.12,3.33 (1.88-4.78),93,96.88,3.62 (3.16-4.09)
oligodendrocytes 16,87,0.258,88.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,228,0.057,1.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,161,0.286,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.172,93.0,104,15,14.42,1.54 (1.13-1.96),89,85.58,3.11 (2.81-3.40)
oligodendrocytes 0,2078,0.109,39.0,238,4,1.68,1.71 (0.59-2.83),234,98.32,3.68 (3.45-3.90)
microglia 1,958,0.126,71.0,290,5,1.72,1.93 (0.69-3.17),285,98.28,3.86 (3.63-4.09)
oligodendrocytes 3,681,0.036,2.0,87,16,18.39,1.60 (1.19-2.01),71,81.61,2.83 (2.53-3.12)
oligodendrocytes 2,1630,0.135,36.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
