tipo_celular,module_size,PHKB_MM,PHKB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.15,33.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,610.0,0.206,83.0,98,14,14.29,2.20 (1.21-3.18),84,85.71,3.29 (2.98-3.61)
astrocytes 5,1141.0,0.129,47.0,166,7,4.22,1.76 (0.31-3.21),159,95.78,3.48 (3.23-3.73)
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,15,4.25,2.09 (1.14-3.03),338,95.75,3.99 (3.81-4.18)
GABA neurons expressing GLU receptors 22,703.0,0.175,44.0,23,1,4.35,3.17 (NA-NA),22,95.65,2.04 (1.30-2.78)
GLU like neurons 17,229.0,0.177,36.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,215.0,0.338,85.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.222,95.0,297,2,0.67,5.62 (5.62-5.62),295,99.33,3.66 (3.45-3.86)
oligodendrocytes 20,298.0,0.166,59.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300.0,0.185,39.0,306,3,0.98,1.89 (0.01-3.77),303,99.02,5.14 (4.88-5.40)
astrocytes 8,1266.0,0.078,46.0,66,3,4.55,1.56 (-0.41-3.53),63,95.45,3.32 (2.90-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.111,83.0,276,8,2.9,1.37 (0.76-1.97),268,97.1,3.63 (3.41-3.84)
oligodendrocytes 10,2107.0,0.286,87.0,358,14,3.91,1.83 (0.97-2.70),344,96.09,3.97 (3.78-4.16)
connective tissue cells 21,139.0,0.231,17.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1768.0,0.075,38.0,105,10,9.52,2.07 (0.80-3.34),95,90.48,3.34 (3.01-3.68)
oligodendrocytes 16,71.0,0.13,10.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,448.0,0.108,57.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82)
astrocytes microglia 23,253.0,0.229,36.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,752.0,0.153,49.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.138,38.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.132,78.0,161,13,8.07,1.54 (0.84-2.25),148,91.93,3.46 (3.19-3.73)
oligodendrocytes 3,1003.0,0.116,69.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.195,87.0,84,4,4.76,0.69 (0.37-1.02),80,95.24,2.81 (2.48-3.15)
