tipo_celular,module_size,PHLPP1_MM,PHLPP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.507,93.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349.0,0.48,92.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,222.0,0.225,59.0,98,4,4.08,4.73 (1.89-7.56),94,95.92,4.59 (4.18-5.00)
oligodendrocyte progenitor cells 7,229.0,0.11,15.0,45,1,2.22,NA,44,97.78,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.459,95.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.378,91.0,91,11,12.09,1.13 (0.42-1.84),80,87.91,5.13 (4.69-5.58)
da like neurons 11,408.0,0.643,97.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.455,84.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.303,55.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,3052.0,0.138,49.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.346,85.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.216,79.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.474,64.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250.0,0.394,70.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77)
astrocytes 15,418.0,0.492,90.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16)
oligodendrocytes 16,313.0,0.126,10.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.192,12.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,220.0,0.077,3.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,1186.0,0.16,76.0,300,10,3.33,3.74 (3.23-4.24),290,96.67,3.80 (3.58-4.01)
microglia 1,127.0,0.445,90.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,681.0,0.154,87.0,87,7,8.05,1.77 (0.85-2.68),80,91.95,2.66 (2.38-2.94)
oligodendrocytes 2,348.0,0.335,88.0,114,2,1.75,3.70 (NA-NA),112,98.25,5.13 (4.72-5.55)
