tipo_celular,module_size,PHPT1_MM,PHPT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.206,59.0,410,13,3.17,3.17 (2.26-4.08),397,96.83,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,417.0,0.195,69.0,213,26,12.21,1.65 (1.14-2.15),187,87.79,4.09 (3.86-4.32)
endothelial cells 9,916.0,0.31,73.0,302,6,1.99,2.44 (1.15-3.73),296,98.01,4.02 (3.80-4.25)
oligodendrocytes 20,938.0,0.19,77.0,169,12,7.1,2.63 (1.38-3.87),157,92.9,3.53 (3.31-3.75)
GABA like neurons 14,2402.0,0.368,76.0,455,26,5.71,1.90 (1.30-2.50),429,94.29,4.52 (4.34-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.134,71.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,85.0,0.381,83.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.357,98.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,729.0,0.152,50.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,161.0,0.417,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.171,51.0,252,27,10.71,2.25 (1.56-2.94),225,89.29,4.34 (4.10-4.59)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.12,44.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.319,67.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
