tipo_celular,module_size,PINK1_MM,PINK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.223,71.0,266,101,37.97,3.64 (3.32-3.96),165,62.03,4.52 (4.27-4.78)
oligodendrocyte progenitor cells 7,296.0,0.299,87.0,251,34,13.55,4.05 (3.74-4.36),217,86.45,4.07 (3.79-4.35)
GABA neurons expressing GLU receptors 22,848.0,0.352,85.0,262,72,27.48,3.79 (3.42-4.16),190,72.52,4.36 (4.04-4.67)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.446,95.0,410,130,31.71,4.15 (3.90-4.39),280,68.29,4.32 (4.05-4.59)
GABA neurons expressing GABA receptors 13,417.0,0.146,40.0,213,100,46.95,3.49 (3.15-3.83),113,53.05,4.08 (3.74-4.42)
endothelial cells 9,559.0,0.235,71.0,155,4,2.58,4.69 (2.55-6.84),151,97.42,4.32 (3.95-4.69)
oligodendrocytes 20,403.0,0.043,12.0,18,12,66.67,1.62 (0.79-2.44),6,33.33,2.40 (1.21-3.58)
GABA like neurons 14,2402.0,0.542,92.0,455,149,32.75,3.96 (3.67-4.24),306,67.25,4.63 (4.39-4.87)
astrocytes 8,520.0,0.309,88.0,288,101,35.07,3.85 (3.62-4.09),187,64.93,4.40 (4.11-4.70)
oligodendrocyte progenitor cells 12,3303.0,0.079,50.0,276,99,35.87,3.10 (2.82-3.37),177,64.13,3.91 (3.60-4.22)
oligodendrocytes 10,806.0,0.428,92.0,261,60,22.99,3.64 (3.28-3.99),201,77.01,4.66 (4.36-4.95)
connective tissue cells 21,101.0,0.511,89.0,116,37,31.9,3.38 (2.93-3.82),79,68.1,5.54 (5.04-6.05)
astrocytes 15,268.0,0.051,22.0,10,2,20.0,2.33 (1.53-3.13),8,80.0,4.14 (1.98-6.31)
oligodendrocytes 16,313.0,0.313,75.0,291,73,25.09,4.03 (3.63-4.44),218,74.91,4.44 (4.18-4.71)
da neurons 6,409.0,0.292,94.0,235,71,30.21,3.85 (3.56-4.14),164,69.79,4.06 (3.69-4.43)
astrocytes microglia 23,92.0,0.344,63.0,11,3,27.27,5.03 (4.76-5.30),8,72.73,4.06 (3.37-4.75)
astrocytes 4,157.0,0.175,49.0,178,81,45.51,3.64 (3.28-3.99),97,54.49,4.77 (4.40-5.13)
oligodendrocytes 0,116.0,0.151,45.0,169,11,6.51,3.93 (2.81-5.05),158,93.49,4.31 (4.00-4.62)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.251,90.0,345,94,27.25,4.12 (3.77-4.47),251,72.75,4.35 (4.09-4.61)
oligodendrocytes 2,99.0,0.246,52.0,116,6,5.17,4.36 (2.73-6.00),110,94.83,3.93 (3.63-4.24)
