tipo_celular,module_size,PPM1F_MM,PPM1F_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.207,75.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.104,43.0,80,5,6.25,4.05 (3.59-4.52),75,93.75,3.64 (3.20-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,61,17.28,2.23 (1.94-2.51),292,82.72,4.37 (4.19-4.55)
GABA neurons expressing GLU receptors 22,1069.0,0.107,12.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.112,35.0,133,47,35.34,2.46 (2.07-2.85),86,64.66,3.82 (3.41-4.23)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.144,34.0,141,16,11.35,3.34 (2.46-4.22),125,88.65,2.91 (2.66-3.15)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.14,40.0,74,13,17.57,2.13 (1.92-2.35),61,82.43,3.13 (2.68-3.57)
astrocytes 8,603.0,0.065,40.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28)
oligodendrocyte progenitor cells 12,708.0,0.049,16.0,32,14,43.75,1.99 (1.27-2.70),18,56.25,4.50 (3.38-5.63)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.082,47.0,96,18,18.75,4.10 (3.33-4.88),78,81.25,3.47 (2.94-4.00)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.315,44.0,5,1,20.0,NA,4,80.0,0.46 (0.38-0.54)
astrocytes 4,1807.0,0.123,15.0,104,23,22.12,1.69 (1.31-2.06),81,77.88,3.23 (2.93-3.54)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.094,27.0,161,50,31.06,2.06 (1.76-2.36),111,68.94,4.01 (3.72-4.30)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
