tipo_celular,module_size,RABAC1_MM,RABAC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.156,38.0,225,3,1.33,1.36 (0.40-2.32),222,98.67,3.65 (3.40-3.90)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.246,82.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,487.0,0.396,92.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.394,92.0,410,2,0.49,1.39 (-0.26-3.05),408,99.51,4.27 (4.08-4.45)
GABA neurons expressing GABA receptors 13,417.0,0.183,64.0,213,8,3.76,0.74 (0.34-1.14),205,96.24,3.91 (3.67-4.14)
endothelial cells 9,916.0,0.482,90.0,302,2,0.66,1.76 (0.84-2.69),300,99.34,4.00 (3.77-4.23)
oligodendrocytes 20,938.0,0.179,73.0,169,2,1.18,1.39 (-0.26-3.05),167,98.82,3.51 (3.29-3.73)
GABA like neurons 14,2402.0,0.741,100.0,455,8,1.76,0.73 (0.29-1.18),447,98.24,4.43 (4.25-4.61)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.234,87.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,806.0,0.222,67.0,261,2,0.77,1.76 (0.84-2.69),259,99.23,4.39 (4.15-4.63)
connective tissue cells 21,301.0,0.464,73.0,158,2,1.27,1.39 (-0.26-3.05),156,98.73,4.31 (3.94-4.67)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.191,37.0,291,2,0.69,1.39 (-0.26-3.05),289,99.31,4.35 (4.13-4.58)
da neurons 6,729.0,0.338,99.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,116.0,0.407,94.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.284,87.0,252,10,3.97,0.91 (0.48-1.34),242,96.03,4.27 (4.03-4.50)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.245,86.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.467,90.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
