tipo_celular,module_size,RANBP2_MM,RANBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.338,89.0,102,17,16.67,2.45 (1.92-2.99),85,83.33,3.71 (3.30-4.11)
T cells 18,518,0.145,42.0,131,3,2.29,4.17 (NA-NA),128,97.71,3.06 (2.79-3.34)
astrocytes 5,423,0.233,85.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,4285,0.133,46.0,353,66,18.7,2.72 (2.33-3.10),287,81.3,4.19 (4.00-4.39)
GABA neurons expressing GLU receptors 22,599,0.138,16.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1247,0.098,23.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,120,0.315,67.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,265,0.112,19.0,78,6,7.69,2.89 (2.14-3.63),72,92.31,4.52 (4.09-4.95)
endothelial cells 9,303,0.114,27.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,279,0.157,29.0,16,3,18.75,3.83 (3.16-4.50),13,81.25,2.16 (1.37-2.96)
GABA like neurons 14,3052,0.135,46.0,125,8,6.4,3.75 (3.12-4.39),117,93.6,3.33 (2.99-3.67)
astrocytes 8,577,0.184,89.0,83,5,6.02,3.12 (2.59-3.65),78,93.98,3.26 (2.78-3.74)
oligodendrocyte progenitor cells 12,708,0.074,31.0,32,13,40.62,2.03 (1.17-2.89),19,59.38,4.16 (3.08-5.23)
oligodendrocytes 10,2107,0.064,11.0,358,67,18.72,2.86 (2.46-3.26),291,81.28,4.12 (3.92-4.33)
connective tissue cells 21,118,0.291,50.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1768,0.137,87.0,105,29,27.62,2.43 (1.98-2.88),76,72.38,3.55 (3.13-3.96)
oligodendrocytes 16,156,0.166,24.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,518,0.133,71.0,122,26,21.31,2.32 (1.83-2.81),96,78.69,4.64 (4.21-5.06)
astrocytes microglia 23,327,0.493,91.0,120,14,11.67,2.38 (1.55-3.21),106,88.33,3.80 (3.50-4.11)
astrocytes 4,514,0.338,91.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,613,0.166,71.0,127,14,11.02,3.04 (2.50-3.59),113,88.98,3.05 (2.57-3.54)
microglia 1,480,0.338,91.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,357,0.095,50.0,127,1,0.79,5.72 (NA-NA),126,99.21,3.09 (2.76-3.42)
oligodendrocytes 2,921,0.167,90.0,200,23,11.5,3.59 (3.08-4.10),177,88.5,3.62 (3.33-3.92)
