tipo_celular,module_size,SAFB2_MM,SAFB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.199,75.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,282.0,0.235,87.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.163,96.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,46,13.03,1.92 (1.62-2.23),307,86.97,4.28 (4.10-4.46)
GABA neurons expressing GLU receptors 22,1069.0,0.115,16.0,37,5,13.51,2.29 (1.72-2.86),32,86.49,2.13 (1.60-2.66)
GLU like neurons 17,1247.0,0.107,30.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,853.0,0.148,61.0,133,43,32.33,2.07 (1.69-2.45),90,67.67,3.96 (3.60-4.31)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.077,11.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,250.0,0.026,4.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.12,26.0,74,15,20.27,2.23 (2.00-2.47),59,79.73,3.14 (2.68-3.60)
astrocytes 8,1266.0,0.131,82.0,66,16,24.24,2.03 (1.03-3.03),50,75.76,3.62 (3.22-4.01)
oligodendrocyte progenitor cells 12,3303.0,0.054,19.0,276,38,13.77,1.93 (1.70-2.17),238,86.23,3.89 (3.66-4.11)
oligodendrocytes 10,2107.0,0.057,7.0,358,52,14.53,2.07 (1.68-2.46),306,85.47,4.29 (4.11-4.47)
connective tissue cells 21,106.0,0.287,53.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1768.0,0.183,98.0,105,22,20.95,2.15 (1.46-2.84),83,79.05,3.51 (3.15-3.86)
oligodendrocytes 16,123.0,0.171,22.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.329,83.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,201.0,0.237,83.0,18,6,33.33,3.50 (3.01-3.98),12,66.67,5.16 (3.91-6.41)
oligodendrocytes 0,613.0,0.133,42.0,127,16,12.6,2.20 (1.84-2.57),111,87.4,3.25 (2.76-3.74)
microglia 1,958.0,0.126,71.0,290,9,3.1,2.97 (1.61-4.34),281,96.9,3.85 (3.62-4.08)
oligodendrocytes 3,357.0,0.119,66.0,127,4,3.15,3.75 (1.69-5.82),123,96.85,3.09 (2.76-3.43)
oligodendrocytes 2,921.0,0.145,64.0,200,8,4.0,3.71 (2.34-5.08),192,96.0,3.62 (3.35-3.89)
