tipo_celular,module_size,SERPINB9_MM,SERPINB9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.24,70.0,102,32,31.37,2.91 (2.38-3.43),70,68.63,3.78 (3.32-4.24)
T cells 18,393.0,0.171,60.0,59,5,8.47,3.98 (2.48-5.48),54,91.53,3.03 (2.51-3.56)
astrocytes 5,423.0,0.132,38.0,80,5,6.25,4.24 (2.61-5.86),75,93.75,3.34 (2.84-3.83)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.14,55.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,168.0,0.445,96.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.11,15.0,120,11,9.17,3.25 (2.66-3.85),109,90.83,4.77 (4.43-5.10)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.259,57.0,455,29,6.37,2.19 (1.56-2.82),426,93.63,4.52 (4.34-4.70)
astrocytes 8,262.0,0.074,15.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.184,74.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.184,8.0,120,45,37.5,3.10 (2.63-3.58),75,62.5,3.96 (3.59-4.32)
astrocytes 4,514.0,0.132,16.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.156,33.0,163,7,4.29,3.73 (2.93-4.54),156,95.71,3.71 (3.43-3.98)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
