tipo_celular,module_size,SESN3_MM,SESN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.145,11.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,477,0.267,92.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.145,70.0,166,11,6.63,2.24 (1.47-3.01),155,93.37,3.49 (3.23-3.75)
oligodendrocyte progenitor cells 7,666,0.331,93.0,127,14,11.02,2.32 (1.80-2.84),113,88.98,4.13 (3.77-4.48)
GABA neurons expressing GLU receptors 22,848,0.15,24.0,262,6,2.29,2.44 (0.24-4.64),256,97.71,4.22 (3.97-4.46)
GLU like neurons 17,1316,0.168,83.0,101,5,4.95,5.24 (3.45-7.03),96,95.05,2.94 (2.60-3.28)
da like neurons 11,853,0.04,1.0,133,6,4.51,2.13 (0.88-3.38),127,95.49,3.32 (3.00-3.64)
GABA neurons expressing GABA receptors 13,238,0.285,90.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,586,0.241,55.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,279,0.159,30.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052,0.196,90.0,125,2,1.6,NA,123,98.4,3.35 (3.03-3.68)
astrocytes 8,577,0.129,74.0,83,3,3.61,1.75 (0.81-2.69),80,96.39,3.32 (2.86-3.78)
oligodendrocyte progenitor cells 12,3303,0.118,88.0,276,16,5.8,2.31 (1.44-3.18),260,94.2,3.63 (3.41-3.85)
oligodendrocytes 10,2107,0.095,26.0,358,30,8.38,2.85 (2.03-3.67),328,91.62,3.97 (3.78-4.16)
connective tissue cells 21,106,0.218,15.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,443,0.152,50.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,151,0.158,26.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,448,0.17,89.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,255,0.203,13.0,57,2,3.51,2.53 (2.01-3.06),55,96.49,2.66 (2.28-3.03)
astrocytes 4,514,0.19,54.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95)
oligodendrocytes 0,2078,0.101,24.0,238,10,4.2,4.47 (2.98-5.95),228,95.8,3.60 (3.38-3.82)
microglia 1,958,0.183,97.0,290,11,3.79,2.46 (1.54-3.39),279,96.21,3.88 (3.65-4.11)
oligodendrocytes 3,94,0.086,47.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,804,0.176,74.0,84,5,5.95,1.06 (0.30-1.82),79,94.05,2.82 (2.48-3.16)
