tipo_celular,module_size,SIAH1_MM,SIAH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.101,1.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.147,48.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.145,65.0,353,40,11.33,2.16 (1.70-2.63),313,88.67,4.14 (3.95-4.32)
GABA neurons expressing GLU receptors 22,599.0,0.184,36.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.104,32.0,135,26,19.26,2.85 (2.20-3.50),109,80.74,3.28 (2.94-3.63)
da like neurons 11,215.0,0.095,12.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.113,38.0,297,7,2.36,3.04 (2.03-4.05),290,97.64,3.68 (3.47-3.88)
oligodendrocytes 20,403.0,0.144,59.0,18,11,61.11,1.15 (0.56-1.74),7,38.89,3.02 (1.99-4.05)
GABA like neurons 14,3052.0,0.107,23.0,125,4,3.2,3.56 (NA-NA),121,96.8,3.35 (3.02-3.68)
astrocytes 8,577.0,0.064,30.0,83,2,2.41,1.70 (0.08-3.32),81,97.59,3.30 (2.84-3.75)
oligodendrocyte progenitor cells 12,1049.0,0.094,51.0,235,1,0.43,7.18 (NA-NA),234,99.57,3.81 (3.57-4.04)
oligodendrocytes 10,2107.0,0.062,9.0,358,45,12.57,2.05 (1.63-2.47),313,87.43,4.17 (3.99-4.36)
connective tissue cells 21,106.0,0.456,99.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1768.0,0.102,65.0,105,25,23.81,2.47 (1.96-2.98),80,76.19,3.47 (3.07-3.87)
oligodendrocytes 16,121.0,0.249,77.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.415,88.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.169,42.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,2078.0,0.125,73.0,238,9,3.78,2.68 (1.63-3.73),229,96.22,3.67 (3.44-3.89)
microglia 1,346.0,0.124,33.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,743.0,0.084,54.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.17,94.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
