tipo_celular,module_size,SIPA1L1_MM,SIPA1L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.492,98.0,102,5,4.9,1.12 (0.71-1.53),97,95.1,3.63 (3.26-3.99)
T cells 18,388,0.118,30.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,499,0.186,66.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,448,0.087,11.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,714,0.156,35.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,229,0.144,19.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,101,0.088,12.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288,0.106,13.0,93,58,62.37,4.78 (4.20-5.35),35,37.63,5.87 (5.00-6.75)
endothelial cells 9,1653,0.194,88.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330,0.25,76.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,1300,0.209,52.0,306,94,30.72,4.71 (4.23-5.18),212,69.28,5.32 (5.02-5.63)
astrocytes 8,279,0.089,3.0,78,20,25.64,3.54 (2.79-4.29),58,74.36,4.60 (4.13-5.07)
oligodendrocyte progenitor cells 12,153,0.509,91.0,27,12,44.44,4.98 (3.50-6.47),15,55.56,4.40 (3.21-5.58)
oligodendrocytes 10,2107,0.23,77.0,358,20,5.59,1.99 (1.23-2.75),338,94.41,4.01 (3.83-4.20)
connective tissue cells 21,84,0.322,75.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268,0.23,80.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,90,0.107,3.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.185,62.0,138,52,37.68,4.53 (3.93-5.13),86,62.32,5.01 (4.55-5.48)
astrocytes microglia 23,96,0.137,0.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,752,0.095,2.0,96,6,6.25,3.45 (2.17-4.73),90,93.75,3.28 (2.93-3.62)
oligodendrocytes 0,479,0.235,89.0,40,20,50.0,6.40 (5.50-7.29),20,50.0,5.39 (4.90-5.88)
microglia 1,480,0.339,92.0,163,13,7.98,3.86 (3.04-4.68),150,92.02,3.69 (3.41-3.97)
oligodendrocytes 3,1003,0.261,99.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64)
oligodendrocytes 2,348,0.316,85.0,114,54,47.37,5.24 (4.67-5.82),60,52.63,4.97 (4.38-5.57)
