tipo_celular,module_size,SLCO3A1_MM,SLCO3A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.26,72.0,68,10,14.71,2.09 (1.27-2.90),58,85.29,4.85 (4.30-5.40)
astrocytes 5,165.0,0.196,54.0,51,1,1.96,NA,50,98.04,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.4,93.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.15,31.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1247.0,0.154,64.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,408.0,0.303,73.0,25,6,24.0,3.30 (0.63-5.98),19,76.0,5.17 (3.72-6.63)
GABA neurons expressing GABA receptors 13,288.0,0.245,74.0,93,5,5.38,1.55 (0.76-2.34),88,94.62,5.42 (4.95-5.89)
endothelial cells 9,450.0,0.212,51.0,74,1,1.35,NA,73,98.65,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.174,40.0,110,6,5.45,1.31 (0.80-1.82),104,94.55,5.24 (4.83-5.66)
GABA like neurons 14,1300.0,0.267,77.0,306,16,5.23,2.39 (1.63-3.15),290,94.77,5.32 (5.07-5.57)
astrocytes 8,771.0,0.471,91.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.552,98.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.448,53.0,92,5,5.43,3.31 (1.78-4.84),87,94.57,5.84 (5.37-6.30)
connective tissue cells 21,250.0,0.313,54.0,117,5,4.27,2.20 (1.60-2.80),112,95.73,5.53 (5.14-5.91)
astrocytes 15,458.0,0.156,75.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287.0,0.165,18.0,105,9,8.57,2.10 (1.28-2.92),96,91.43,5.51 (5.12-5.91)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,53.0,0.39,77.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,102.0,0.187,46.0,42,2,4.76,NA,40,95.24,5.68 (4.96-6.40)
oligodendrocytes 0,187.0,0.172,53.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.143,71.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,237.0,0.141,15.0,26,1,3.85,NA,25,96.15,5.22 (4.28-6.15)
