tipo_celular,module_size,SNX1_MM,SNX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.13,6.0,21,10,47.62,1.89 (0.79-2.99),11,52.38,2.71 (2.15-3.27)
T cells 18,518.0,0.085,6.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,932.0,0.082,11.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06)
oligodendrocyte progenitor cells 7,4285.0,0.12,28.0,353,33,9.35,2.67 (2.05-3.28),320,90.65,4.06 (3.87-4.24)
GABA neurons expressing GLU receptors 22,599.0,0.25,70.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,300.0,0.198,58.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,204.0,0.18,47.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.086,17.0,297,4,1.35,6.21 (4.87-7.55),293,98.65,3.64 (3.44-3.84)
oligodendrocytes 20,279.0,0.194,45.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09)
GABA like neurons 14,3052.0,0.08,8.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.139,54.0,48,3,6.25,8.28 (8.28-8.28),45,93.75,4.11 (3.39-4.83)
oligodendrocyte progenitor cells 12,708.0,0.26,83.0,32,15,46.88,2.41 (1.33-3.49),17,53.12,4.21 (3.19-5.23)
oligodendrocytes 10,1277.0,0.139,68.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,118.0,0.216,11.0,4,1,25.0,NA,3,75.0,1.60 (-1.03-4.24)
astrocytes 15,443.0,0.123,29.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,112.0,0.137,19.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.273,62.0,57,4,7.02,2.74 (2.51-2.97),53,92.98,2.65 (2.26-3.03)
astrocytes 4,721.0,0.136,22.0,61,3,4.92,2.86 (0.66-5.06),58,95.08,2.97 (2.55-3.39)
oligodendrocytes 0,1186.0,0.144,48.0,300,3,1.0,3.29 (0.88-5.70),297,99.0,3.80 (3.59-4.00)
microglia 1,958.0,0.121,64.0,290,14,4.83,3.24 (2.67-3.82),276,95.17,3.85 (3.61-4.09)
oligodendrocytes 3,187.0,0.117,60.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,804.0,0.171,70.0,84,5,5.95,1.08 (0.51-1.66),79,94.05,2.82 (2.48-3.16)
