tipo_celular,module_size,SRSF3_MM,SRSF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.197,82.0,71,7,9.86,2.21 (1.24-3.19),64,90.14,2.67 (2.23-3.12)
T cells 18,506.0,0.225,62.0,225,8,3.56,1.73 (1.04-2.42),217,96.44,3.71 (3.46-3.96)
astrocytes 5,423.0,0.143,45.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,628.0,0.193,66.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,1069.0,0.095,8.0,37,5,13.51,2.33 (1.74-2.92),32,86.49,2.12 (1.59-2.65)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.137,33.0,410,7,1.71,2.84 (1.52-4.15),403,98.29,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,90.0,0.13,29.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,385.0,0.133,72.0,275,66,24.0,2.83 (2.41-3.25),209,76.0,4.52 (4.24-4.81)
oligodendrocytes 20,322.0,0.14,58.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.186,36.0,455,32,7.03,2.18 (1.71-2.65),423,92.97,4.58 (4.39-4.76)
astrocytes 8,577.0,0.117,68.0,83,5,6.02,2.52 (0.55-4.49),78,93.98,3.30 (2.84-3.76)
oligodendrocyte progenitor cells 12,1049.0,0.126,66.0,235,6,2.55,3.66 (2.70-4.61),229,97.45,3.83 (3.59-4.07)
oligodendrocytes 10,483.0,0.168,66.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,142.0,0.305,40.0,55,7,12.73,1.27 (0.54-1.99),48,87.27,4.13 (3.23-5.04)
astrocytes 15,367.0,0.041,8.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,107.0,0.239,66.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,448.0,0.076,18.0,43,5,11.63,3.79 (3.72-3.86),38,88.37,3.20 (2.59-3.80)
astrocytes microglia 23,131.0,0.444,94.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,514.0,0.222,67.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,613.0,0.155,62.0,127,29,22.83,2.78 (2.39-3.16),98,77.17,3.19 (2.60-3.78)
microglia 1,958.0,0.113,54.0,290,36,12.41,4.31 (3.70-4.93),254,87.59,3.72 (3.48-3.96)
oligodendrocytes 3,743.0,0.087,58.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.166,27.0,175,2,1.14,2.07 (2.05-2.09),173,98.86,4.42 (4.07-4.77)
