tipo_celular,module_size,SYT11_MM,SYT11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.387,92.0,140,18,12.86,4.35 (3.28-5.42),122,87.14,4.53 (4.07-4.99)
T cells 18,282,0.242,78.0,241,9,3.73,3.58 (2.52-4.64),232,96.27,4.08 (3.82-4.34)
astrocytes 5,228,0.192,57.0,266,50,18.8,3.48 (2.94-4.02),216,81.2,4.29 (4.08-4.51)
oligodendrocyte progenitor cells 7,628,0.346,94.0,164,9,5.49,3.69 (2.63-4.76),155,94.51,4.11 (3.77-4.45)
GABA neurons expressing GLU receptors 22,487,0.438,96.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22)
GLU like neurons 17,685,0.156,63.0,135,32,23.7,2.59 (2.08-3.10),103,76.3,3.41 (3.05-3.78)
da like neurons 11,1220,0.37,90.0,410,36,8.78,3.97 (3.43-4.50),374,91.22,4.28 (4.08-4.48)
GABA neurons expressing GABA receptors 13,357,0.326,92.0,237,10,4.22,3.86 (2.98-4.74),227,95.78,4.44 (4.20-4.68)
endothelial cells 9,338,0.269,83.0,191,15,7.85,4.12 (3.37-4.87),176,92.15,3.86 (3.63-4.10)
oligodendrocytes 20,676,0.085,32.0,110,23,20.91,3.65 (2.65-4.65),87,79.09,5.39 (4.94-5.85)
GABA like neurons 14,2402,0.506,89.0,455,50,10.99,3.37 (2.83-3.90),405,89.01,4.50 (4.31-4.69)
astrocytes 8,520,0.239,79.0,288,59,20.49,4.15 (3.79-4.51),229,79.51,4.18 (3.94-4.42)
oligodendrocyte progenitor cells 12,153,0.38,37.0,27,11,40.74,4.62 (2.75-6.48),16,59.26,4.88 (3.78-5.97)
oligodendrocytes 10,806,0.467,95.0,261,43,16.48,4.26 (3.68-4.84),218,83.52,4.38 (4.12-4.65)
connective tissue cells 21,92,0.237,32.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367,0.186,76.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,153,0.287,28.0,14,1,7.14,3.79 (NA-NA),13,92.86,4.74 (3.97-5.52)
da neurons 6,300,0.268,82.0,159,11,6.92,5.62 (4.61-6.62),148,93.08,4.25 (3.94-4.57)
astrocytes microglia 23,132,0.233,10.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,157,0.151,28.0,178,39,21.91,3.31 (2.67-3.96),139,78.09,4.41 (4.13-4.68)
oligodendrocytes 0,546,0.166,48.0,252,36,14.29,2.99 (2.20-3.79),216,85.71,4.29 (4.04-4.53)
microglia 1,214,0.321,84.0,227,19,8.37,4.28 (3.51-5.05),208,91.63,4.07 (3.82-4.32)
oligodendrocytes 3,116,0.361,97.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,528,0.374,92.0,175,27,15.43,3.74 (3.15-4.33),148,84.57,4.55 (4.14-4.96)
