tipo_celular,module_size,TCP11L2_MM,TCP11L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.207,84.0,98,4,4.08,0.84 (0.05-1.64),94,95.92,3.23 (2.92-3.54)
astrocytes 5,932.0,0.124,72.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,229.0,0.177,43.0,45,2,4.44,4.80 (4.77-4.83),43,95.56,5.02 (4.36-5.67)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.139,26.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,279.0,0.255,65.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.117,31.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260.0,0.112,43.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,708.0,0.136,61.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.22,95.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,95.0,0.392,93.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,367.0,0.219,90.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,121.0,0.194,36.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.302,44.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787.0,0.15,47.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.137,35.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.11,64.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.189,84.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09)
