tipo_celular,module_size,TMEM9_MM,TMEM9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.125,20.0,164,14,8.54,3.70 (3.30-4.10),150,91.46,4.14 (3.77-4.50)
GABA neurons expressing GLU receptors 22,487.0,0.187,39.0,73,3,4.11,2.12 (1.04-3.20),70,95.89,2.79 (2.39-3.19)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.14,34.0,410,42,10.24,3.81 (3.48-4.13),368,89.76,4.32 (4.11-4.53)
GABA neurons expressing GABA receptors 13,77.0,0.233,85.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.404,80.0,455,45,9.89,3.08 (2.61-3.55),410,90.11,4.54 (4.35-4.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.108,59.0,235,15,6.38,3.74 (3.31-4.16),220,93.62,3.83 (3.58-4.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.058,2.0,2,1,50.0,3.28 (NA-NA),1,50.0,0.95 (NA-NA)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
