tipo_celular,module_size,TTLL7_MM,TTLL7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.663,97.0,68,5,7.35,3.47 (1.78-5.16),63,92.65,4.43 (3.85-5.01)
astrocytes 5,165.0,0.556,96.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.199,54.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.248,71.0,16,3,18.75,2.09 (1.81-2.36),13,81.25,1.95 (1.17-2.74)
GLU like neurons 17,637.0,0.202,64.0,91,15,16.48,2.11 (1.17-3.04),76,83.52,5.12 (4.62-5.62)
da like neurons 11,408.0,0.277,70.0,25,4,16.0,1.42 (0.66-2.18),21,84.0,5.41 (4.04-6.79)
GABA neurons expressing GABA receptors 13,288.0,0.253,77.0,93,5,5.38,3.74 (2.43-5.05),88,94.62,5.23 (4.72-5.74)
endothelial cells 9,450.0,0.629,95.0,74,7,9.46,4.05 (3.10-4.99),67,90.54,5.66 (5.07-6.26)
oligodendrocytes 20,676.0,0.269,50.0,110,6,5.45,3.44 (2.26-4.61),104,94.55,5.10 (4.64-5.56)
GABA like neurons 14,2402.0,0.057,2.0,455,11,2.42,0.96 (0.56-1.37),444,97.58,4.45 (4.27-4.63)
astrocytes 8,771.0,0.815,100.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.321,89.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08)
oligodendrocytes 10,204.0,0.546,85.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250.0,0.625,88.0,117,3,2.56,2.68 (0.83-4.53),114,97.44,5.47 (5.08-5.86)
astrocytes 15,458.0,0.536,99.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85)
oligodendrocytes 16,287.0,0.118,6.0,105,7,6.67,3.34 (2.05-4.62),98,93.33,5.21 (4.75-5.67)
da neurons 6,398.0,0.24,78.0,138,10,7.25,2.90 (1.86-3.95),128,92.75,4.98 (4.61-5.36)
astrocytes microglia 23,54.0,0.407,63.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,102.0,0.534,96.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,479.0,0.175,67.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.175,91.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.44,97.0,114,3,2.63,4.41 (4.25-4.56),111,97.37,5.14 (4.72-5.57)
